date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,66.22,67.82,65.98,67.82,67.82,4128866,2530,278339377,67.4129
2024-05-14,67.34,68.6,67.34,67.8,67.8,4028777,2674,273580638,67.9064
2024-05-15,68.02,68.46,66.96,66.96,66.96,3135583,2394,211284401,67.3826
2024-05-16,67.24,67.76,66.52,67.16,67.16,3774152,2652,253609044,67.1963
2024-05-17,0.0,0.0,0.0,0.0,67.16,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,67.16,0,0,0,0.0
2024-05-21,70.0,71.74,68.38,71.44,71.44,9019282,6137,635744194,70.4875
2024-05-22,70.92,71.32,69.0,69.0,69.0,5087075,4866,353880289,69.5646
2024-05-23,68.42,69.2,67.86,68.58,68.58,2482705,2332,170091096,68.5104
2024-05-24,68.68,69.06,67.94,68.86,68.86,2711988,2132,186397423,68.7309
2024-05-27,68.86,69.32,68.22,69.0,69.0,1541960,1615,106226423,68.8905
2024-05-28,69.08,70.92,68.6,70.92,70.92,4180410,2997,294459846,70.4384
2024-05-29,70.98,71.44,69.08,69.48,69.48,6398675,3521,448340199,70.0677
2024-05-30,68.16,70.2,68.0,69.6,69.6,4405473,3135,306266186,69.5195
2024-05-31,69.6,71.54,69.54,70.92,70.92,9613738,3986,681368226,70.8743
2024-06-03,70.44,71.52,70.34,71.02,71.02,2022074,2365,143677168,71.0544
2024-06-04,71.02,71.08,68.54,69.56,69.56,5163530,4490,359983923,69.7167
2024-06-05,68.86,69.24,67.4,67.54,67.54,5840955,3777,396655772,67.9094
2024-06-06,68.42,68.86,68.2,68.76,68.76,1999280,1613,137293565,68.6715
2024-06-07,67.84,68.4,66.8,67.7,67.7,3672331,2866,248495050,67.6668
2024-06-10,67.5,68.68,67.12,68.64,68.64,2333264,1440,159684174,68.4381
2024-06-11,68.4,68.52,66.34,66.52,66.52,2620109,2306,175435066,66.9572
2024-06-12,66.72,67.52,66.4,67.34,67.34,2019786,1751,135656321,67.1637
2024-06-13,68.18,68.6,66.66,66.8,66.8,5719664,4141,383820093,67.1034
2024-06-14,67.0,67.44,64.78,64.84,64.84,4391685,3000,287478734,65.4598
2024-06-17,64.7,64.72,63.14,63.34,63.34,4471162,3138,283909892,63.498
2024-06-18,63.7,64.2,62.68,64.1,64.1,3902935,3102,249046610,63.8101
2024-06-19,64.3,64.88,63.68,64.02,64.02,5152017,2075,330093849,64.0708
2024-06-20,63.7,65.6,63.64,65.1,65.1,4679990,2670,304404263,65.0434
2024-06-21,65.32,65.74,64.14,64.82,64.82,6793268,2956,441490317,64.9899
2024-06-24,64.66,66.76,64.1,66.38,66.38,2406274,2153,159117600,66.1261
2024-06-25,66.32,66.5,64.5,64.7,64.7,3534491,2244,229388729,64.9003
2024-06-26,65.24,66.9,65.06,65.72,65.72,3152427,2307,207604583,65.8552
2024-06-27,65.22,66.42,65.2,66.02,66.02,2792954,1837,184349714,66.0053
2024-06-28,66.24,67.06,66.24,66.5,66.5,3005067,2244,200264388,66.6422
2024-07-01,67.0,67.26,66.36,66.8,66.8,2544729,1904,170032559,66.8176
2024-07-02,66.68,67.02,65.56,66.28,66.28,3370258,2327,223176053,66.2198
2024-07-03,67.3,68.66,67.2,67.62,67.62,4186686,2793,283797312,67.7853
2024-07-04,67.8,68.88,67.58,67.58,67.58,1835832,1510,124559442,67.849
2024-07-05,68.0,68.86,67.38,67.4,67.4,2769807,2276,187769700,67.7916
2024-07-08,67.0,67.06,65.68,66.56,66.56,3614706,2423,240153254,66.4379
2024-07-09,67.34,67.34,66.16,67.14,67.14,3433149,2303,230034638,67.008
2024-07-10,67.36,67.46,65.84,66.94,66.94,2989383,2504,199732672,66.814
2024-07-11,67.18,67.54,66.28,67.22,67.22,3202996,2501,214888306,67.0889
2024-07-12,67.42,69.06,67.14,69.06,69.06,3757327,2312,258370723,68.7665
2024-07-15,68.98,69.06,65.6,66.48,66.48,4207151,3001,280497632,66.6723
2024-07-16,65.7,66.36,65.52,65.76,65.76,3327868,2146,219111155,65.8413
2024-07-17,65.5,66.12,64.82,65.68,65.68,2568737,2327,168636514,65.6496
2024-07-18,66.0,66.14,65.3,65.56,65.56,3250089,2957,213366557,65.6495
2024-07-19,65.14,65.2,63.16,63.5,63.5,4127739,3124,262947513,63.7028
2024-07-22,63.76,64.22,63.42,63.86,63.86,3107518,2128,198427923,63.8542
2024-07-23,60.6,62.06,60.26,60.88,60.88,8255576,5682,503805776,61.0268
2024-07-24,60.5,61.64,60.18,61.0,61.0,4250032,3424,258974743,60.9347
2024-07-25,59.5,60.6,59.1,60.14,60.14,5381382,4170,322446399,59.919
2024-07-26,60.62,61.4,60.58,60.68,60.68,3597069,2515,218577003,60.7653
2024-07-29,60.76,60.78,59.88,59.88,59.88,2624147,2489,157794423,60.1317
2024-07-30,59.68,59.68,58.5,58.92,58.92,5385434,3588,317215456,58.9027
2024-07-31,59.74,60.88,59.74,60.4,60.4,6751798,2330,407586392,60.3671
2024-08-01,60.4,60.4,58.82,59.06,59.06,4529981,2681,268084955,59.1802
2024-08-02,58.26,58.74,57.28,57.42,57.42,3869939,2716,223148323,57.6619
2024-08-05,55.4,55.54,54.48,55.28,55.28,5789068,4407,318912212,55.0887
2024-08-06,56.32,56.76,55.22,55.5,55.5,4359377,2803,242594839,55.649
2024-08-07,55.96,56.9,55.18,56.58,56.58,3398545,2795,192055931,56.5112
2024-08-08,55.76,56.06,54.92,55.82,55.82,3080574,2702,171529815,55.6811
2024-08-09,57.16,57.74,56.86,56.86,56.86,3093447,2855,176966101,57.2065
2024-08-12,57.0,57.62,57.0,57.4,57.4,2626042,2219,150730033,57.3982
2024-08-13,57.5,57.5,56.64,56.92,56.92,2860715,2306,163021290,56.9861
2024-08-14,57.0,57.66,56.56,57.4,57.4,2779513,2514,159285513,57.3069
2024-08-15,57.52,57.98,57.04,57.4,57.4,2900745,2006,166626334,57.4426
2024-08-16,57.7,58.26,57.4,57.98,57.98,4958608,2149,309902367,62.4999
2024-08-19,58.58,59.7,58.44,59.28,59.28,3282617,2399,194465326,59.2409
2024-08-20,59.3,60.24,59.14,59.66,59.66,3388532,2525,202443946,59.7438
2024-08-21,59.88,60.8,59.26,59.34,59.34,2407368,1881,143519394,59.6167
2024-08-22,59.24,59.8,58.6,59.06,59.06,2610369,1745,154508395,59.1905
2024-08-23,59.06,59.8,58.7,59.74,59.74,2834393,2054,168848897,59.5714
2024-08-26,60.0,61.06,59.92,60.44,60.44,3169927,2263,192021999,60.5762
2024-08-27,60.92,61.08,60.36,60.4,60.4,2784960,2128,168684191,60.5697
2024-08-28,60.08,60.2,58.76,58.76,58.76,3754787,1798,221261736,58.9279
2024-08-29,58.64,59.28,58.6,58.9,58.9,1902027,1449,112040217,58.9057
2024-08-30,59.06,60.04,59.06,59.4,59.4,10378593,2554,616629973,59.4136
2024-09-02,58.9,59.58,58.14,59.46,59.46,2464631,1635,145994450,59.2358
2024-09-03,59.32,59.32,56.56,57.06,57.06,5422809,2660,310681046,57.2915
2024-09-04,56.5,57.0,56.28,56.56,56.56,4428000,2081,250538630,56.5805
2024-09-05,56.06,56.88,55.84,56.58,56.58,2582845,1832,145870730,56.4768
2024-09-06,56.58,56.64,55.48,55.5,55.5,2440431,1827,135971865,55.7163
2024-09-09,55.84,56.24,55.52,56.02,56.02,2043773,1553,114384490,55.9673
2024-09-10,56.06,56.86,55.44,55.44,55.44,2582653,2248,144173833,55.8239
2024-09-11,58.22,58.24,57.02,57.42,57.42,5117339,3484,294017945,57.4552
2024-09-12,58.66,59.9,58.24,58.68,58.68,4743570,3779,279366396,58.8934
2024-09-13,59.02,59.4,58.42,59.4,59.4,4245615,2928,251167245,59.1592
2024-09-16,59.12,62.24,59.0,62.02,62.02,5142967,3544,315417019,61.3297
2024-09-17,62.04,62.2,60.16,60.98,60.98,5385259,3285,328504547,61.0007
2024-09-18,60.84,60.9,60.1,60.6,60.6,3217624,1877,194901265,60.573
2024-09-19,62.44,63.52,62.26,62.7,62.7,5615847,3804,353404417,62.9298
2024-09-20,62.92,62.92,61.62,61.84,61.84,7958643,3920,493112951,61.9594
2024-09-23,61.56,62.56,61.12,62.28,62.28,3065418,2294,190279442,62.0729
2024-09-24,65.56,66.38,64.7,65.58,65.58,9147289,5659,599560345,65.545
2024-09-25,66.16,66.6,64.52,64.72,64.72,4040499,3165,262957368,65.0812
2024-09-26,66.44,67.88,66.36,67.18,67.18,6455733,4772,433284908,67.1163
2024-09-27,68.24,68.76,67.58,68.3,68.3,4056993,2962,277090703,68.2995
2024-09-30,68.52,69.6,68.12,68.46,68.46,4113201,3080,281892434,68.5336
2024-10-01,68.34,69.22,67.68,68.46,68.46,4033502,3099,275973056,68.4203
2024-10-02,69.18,69.6,68.34,68.7,68.7,3486175,2510,239769811,68.7773
2024-10-03,68.46,68.62,66.96,67.32,67.32,3558700,3159,240090672,67.4658
2024-10-04,67.48,69.0,67.4,68.92,68.92,3326903,2358,228184006,68.5896
2024-10-07,68.94,69.16,68.24,69.16,69.16,2726730,1845,187871498,68.8999
2024-10-08,65.74,66.78,65.06,66.04,66.04,4021961,3592,266046548,66.1485
2024-10-09,66.08,67.04,65.8,66.56,66.56,3409939,3078,226916826,66.5456
2024-10-10,67.08,68.2,66.42,68.14,68.14,3579742,2517,242226424,67.6659
2024-10-11,68.22,70.88,68.0,70.12,70.12,4620956,3379,323024988,69.9044
2024-10-14,69.86,70.3,68.66,69.32,69.32,2727959,2627,189347538,69.41
