date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,315.0,316.1,311.0,314.3,314.3,1152607,4577,361244541,313.4153
2024-05-14,314.6,319.2,312.1,317.9,317.9,685889,2744,217553139,317.1842
2024-05-15,317.9,320.1,316.6,318.6,318.6,565528,2363,180160505,318.5704
2024-05-16,318.6,324.8,315.3,323.0,323.0,1030319,3310,335357744,325.4892
2024-05-17,0.0,0.0,0.0,0.0,323.0,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,323.0,0,0,0,0.0
2024-05-21,324.8,329.1,323.1,327.0,327.0,884467,3900,288954955,326.6995
2024-05-22,326.9,329.1,323.6,329.0,329.0,682743,2940,223777173,327.762
2024-05-23,328.9,329.8,325.8,325.8,325.8,370212,1731,121010150,326.8672
2024-05-24,325.0,328.7,321.5,328.0,328.0,401772,2012,131145843,326.4186
2024-05-27,328.0,331.9,327.8,331.9,331.9,380462,1684,125950754,331.0469
2024-05-28,332.0,334.5,330.3,334.3,334.3,588578,2220,196417811,333.7159
2024-05-29,328.9,330.1,324.0,325.0,325.0,585536,2754,190674747,325.641
2024-05-30,323.0,326.1,321.3,326.0,326.0,421697,1855,137064197,325.0301
2024-05-31,326.0,328.3,322.4,324.9,324.9,1696719,2694,551301066,324.9219
2024-06-03,324.5,333.5,324.3,325.8,325.8,717721,3237,236030579,328.8612
2024-06-04,325.0,325.5,318.7,325.4,325.4,814125,3496,263327416,323.4473
2024-06-05,325.0,325.7,311.1,311.1,311.1,1089842,3673,343184575,314.8939
2024-06-06,312.6,314.4,306.2,312.1,312.1,837127,4295,259814498,310.3656
2024-06-07,312.3,318.5,310.1,316.3,316.3,788583,3825,248582324,315.2268
2024-06-10,316.0,318.2,313.8,315.8,315.8,400145,1800,126546771,316.2523
2024-06-11,315.4,316.0,309.1,311.1,311.1,639723,2414,199325118,311.5804
2024-06-12,311.3,312.3,306.2,306.3,306.3,679476,3038,209009695,307.6042
2024-06-13,306.0,307.1,302.2,302.9,302.9,908726,3304,276056070,303.7836
2024-06-14,304.0,304.1,298.2,298.2,298.2,793413,4057,238255935,300.2925
2024-06-17,298.9,301.7,297.1,300.4,300.4,486326,2525,146090583,300.429
2024-06-18,302.0,302.0,294.8,300.6,300.6,590835,3401,176438154,298.6257
2024-06-19,301.0,301.0,297.5,297.7,297.7,468859,2016,140086347,298.7814
2024-06-20,297.3,299.7,296.2,299.0,299.0,575770,2314,171815257,298.4095
2024-06-21,300.0,306.4,299.4,300.5,300.5,1129169,2774,355777408,315.0802
2024-06-24,301.0,306.8,300.5,305.5,305.5,664406,2704,202585951,304.9154
2024-06-25,306.3,308.5,303.8,306.1,306.1,504864,2330,154518755,306.0602
2024-06-26,305.5,312.0,305.3,308.3,308.3,856408,3674,264865414,309.2749
2024-06-27,308.1,308.6,304.2,304.9,304.9,492296,2187,150261562,305.2257
2024-06-28,304.9,310.7,304.9,307.6,307.6,353836,2037,109116566,308.3818
2024-07-01,310.2,310.9,305.3,307.1,307.1,560258,1982,172312953,307.56
2024-07-02,306.5,308.2,302.8,303.2,303.2,524556,2356,159545011,304.1525
2024-07-03,303.5,305.2,298.2,298.2,298.2,842054,2808,252230290,299.5417
