date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,286.3271,289.2717,286.18688,288.47712,288.47712,1970580,6719,567717902,288.0968
2024-05-14,288.19668,289.73909,287.96299,288.89778,288.89778,1829070,5924,528292619,288.8312
2024-05-15,286.56367,289.16664,282.16228,282.7302,282.7302,3619508,10832,1029793474,284.512
2024-05-16,283.9607,285.42783,279.70129,282.82486,282.82486,3693416,9798,1044140929,282.7033
2024-05-17,0.0,0.0,0.0,0.0,282.82486,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,282.82486,0,0,0,0.0
2024-05-21,285.75912,289.54526,284.52862,289.4506,289.4506,3723877,11194,1070500130,287.4692
2024-05-22,286.98961,289.21397,286.42169,287.84149,287.84149,2981898,9687,858206596,287.8055
2024-05-23,288.22011,294.13596,287.84149,293.852,293.852,3086197,9463,902588514,292.4597
2024-05-24,289.63991,290.39714,285.33317,285.85377,285.85377,4146956,12576,1189831548,286.9168
2024-05-27,283.9607,288.07813,283.2508,287.41555,287.41555,1790315,6499,513536554,286.8415
2024-05-28,288.78803,289.16664,285.09654,285.52248,285.52248,3264883,9492,935148783,286.4264
2024-05-29,287.08427,289.49793,284.05535,284.43397,284.43397,2625517,9356,750473290,285.8382
2024-05-30,280.0799,283.81872,279.27535,282.06763,282.06763,2616650,9478,737370440,281.7994
2024-05-31,283.15614,289.02466,282.7302,286.65832,286.65832,9336525,9970,2676618575,286.6825
2024-06-03,288.78803,294.5619,287.60486,287.60486,287.60486,3333149,11677,968570412,290.5871
2024-06-04,284.90723,285.47516,273.92742,276.48307,276.48307,4355722,14270,1211169736,278.064
2024-06-05,276.81435,281.40505,276.81435,278.94406,278.94406,2985140,7937,833490652,279.2132
2024-06-06,278.75475,280.7898,277.47693,278.56544,278.56544,2247050,7303,626647387,278.8756
2024-06-07,279.27535,282.25693,278.61277,282.20961,282.20961,2205107,6990,619296461,280.8464
2024-06-10,280.41119,283.81872,280.03258,283.15614,283.15614,2132602,5927,602886358,282.6999
2024-06-11,283.62941,285.33317,281.26307,282.39891,282.39891,2589168,8427,732543643,282.9262
2024-06-12,283.62941,285.56981,281.73634,282.58822,282.58822,2459574,8547,696741482,283.2772
2024-06-13,280.55317,281.12109,275.39455,275.63118,275.63118,2940401,7622,814671388,277.0613
2024-06-14,275.86782,277.80822,274.0694,274.21138,274.21138,2435966,6720,670598732,275.2906
2024-06-17,273.73811,275.25257,272.41296,273.31217,273.31217,2100051,6929,574542876,273.5851
2024-06-18,273.17019,275.44188,271.79771,274.87396,274.87396,3392460,8036,931151434,274.4767
2024-06-19,275.58386,276.19911,272.74425,274.11673,274.11673,2192411,6338,601298065,274.2633
2024-06-20,274.40069,277.28762,273.59613,277.28762,277.28762,2859169,8013,789648082,276.1809
2024-06-21,274.0694,277.80822,274.0694,277.24029,277.24029,4733315,7185,1314043487,277.6159
2024-06-24,274.49534,278.6601,274.16405,278.23416,278.23416,1657169,5916,459929765,277.5394
2024-06-25,281.07376,283.81872,278.42346,280.45852,280.45852,2285072,6769,641692461,280.8193
2024-06-26,280.64782,284.90723,280.55317,282.77753,282.77753,2372759,6667,671196533,282.876
2024-06-27,281.97297,287.55753,281.64169,285.85377,285.85377,2380720,7577,679889972,285.5816
2024-06-28,288.07813,291.48566,286.70565,287.69951,287.69951,2582829,5902,744467803,288.2373
2024-07-01,290.72843,291.76962,288.0308,289.16664,289.16664,1721122,5495,498144370,289.4299
2024-07-02,290.6811,293.28407,289.02466,289.87655,289.87655,2374828,7231,690299622,290.6734
2024-07-03,289.87655,291.72229,287.93615,289.40328,289.40328,2351659,5679,680771490,289.4855
2024-07-04,289.40328,291.05972,288.40942,290.01853,290.01853,1556820,4644,451221722,289.8354
2024-07-05,290.58645,292.38487,286.8003,286.98961,286.98961,1816505,5088,523922673,288.4234
2024-07-08,283.91337,283.9607,275.63118,278.75475,278.75475,3224135,10778,898202199,278.587
2024-07-09,278.99139,279.18069,275.96247,276.15178,276.15178,1946215,6425,539348596,277.1269
2024-07-10,275.44188,275.82049,271.98702,272.93356,272.93356,2634318,9988,721026054,273.705
2024-07-11,270.99316,272.55494,268.91078,272.46029,272.46029,2637382,8212,716210756,271.5612
2024-07-12,272.88623,277.14564,272.50762,274.82663,274.82663,2099025,6350,577635769,275.1924
2024-07-15,275.58386,275.96247,272.79158,274.96861,274.96861,1884573,6468,517059529,274.3642
2024-07-16,275.44188,276.67237,271.13514,272.55494,272.55494,2031362,5903,554803182,273.1187
2024-07-17,274.30603,276.95633,273.12286,276.76703,276.76703,1937788,6197,534044740,275.5949
2024-07-18,276.76703,281.54703,276.48307,281.07376,281.07376,1951001,5321,546879250,280.307
2024-07-19,279.41733,281.68901,278.42346,278.42346,278.42346,2015212,4767,562950954,279.3507
2024-07-22,277.90287,278.42346,274.11673,276.34109,276.34109,1546711,5194,427026218,276.0865
2024-07-23,275.63118,276.38841,272.98088,273.31217,273.31217,1759597,5726,482054599,273.9573
2024-07-24,275.91514,276.53039,270.99316,272.60227,272.60227,2972105,8614,812717948,273.4485
2024-07-25,268.81613,271.51375,266.78108,269.19474,269.19474,2493535,10252,670265446,268.8013
2024-07-26,272.50762,274.30603,269.52603,269.52603,269.52603,2726964,6988,738684187,270.8815
2024-07-29,271.32445,274.25871,270.51989,270.7092,270.7092,2391279,7645,650897979,272.1966
2024-07-30,270.28326,270.94583,266.78108,267.39632,267.39632,1977920,6719,530220982,268.07
2024-07-31,272.50762,276.10445,270.99316,274.49534,274.49534,3358528,6951,920863367,274.1866
2024-08-01,276.57772,278.37614,274.30603,274.63732,274.63732,2691640,7102,744546710,276.6144
2024-08-02,271.65573,274.92128,269.76266,269.76266,269.76266,2689925,8856,731679834,272.0075
2024-08-05,263.89414,264.93533,260.86523,262.14305,262.14305,3332461,10453,874207302,262.3308
2024-08-06,266.44979,267.86959,260.77057,263.61018,263.61018,3490596,10382,919455126,263.4092
2024-08-07,264.888,270.42524,264.74602,269.10009,269.10009,3104276,7361,832781088,268.269
2024-08-08,271.65573,279.13337,271.32445,276.38841,276.38841,4745076,9373,1307201985,275.486
2024-08-09,279.22802,280.41119,277.52426,278.84941,278.84941,2331169,7386,649916131,278.794
2024-08-12,280.97911,288.22011,279.89059,287.74684,287.74684,3019973,8455,863104187,285.7986
2024-08-13,288.0308,288.40942,280.83713,281.07376,281.07376,2754512,9114,779969871,283.1608
2024-08-14,282.06763,282.49357,279.03871,280.26921,280.26921,1922558,6355,539086047,280.4004
2024-08-15,279.32267,284.05535,278.75475,281.26307,281.26307,2369051,7440,666975900,281.5371
2024-08-16,281.86211,283.75543,280.21152,282.00775,282.00775,2791375,6821,797249801,285.6118
2024-08-19,281.231,284.77491,279.38623,284.77491,284.77491,1753951,5276,497047399,283.3872
2024-08-20,279.82315,281.71647,278.41529,279.38623,279.38623,2084051,6285,583099969,279.7916
2024-08-21,276.18215,279.62896,275.79377,276.61907,276.61907,1673947,6133,464037240,277.2114
2024-08-22,274.09464,275.25976,271.61876,272.29841,272.29841,2203347,9207,601877940,273.1652
2024-08-23,273.8519,275.4054,272.24986,274.33737,274.33737,1837026,6600,503191088,273.9161
2024-08-26,275.69668,279.43477,273.8519,278.90076,278.90076,1812660,6097,502366937,277.1435
2024-08-27,279.14349,280.59989,277.00744,277.05599,277.05599,1396988,5028,388686951,278.2321
2024-08-28,275.89086,279.33768,274.72574,277.92983,277.92983,2753538,10496,763649727,277.3339
2024-08-29,270.9391,277.05599,270.50218,276.66761,276.66761,2717755,9639,747807030,275.1561
2024-08-30,277.88128,278.85221,271.71585,273.31789,273.31789,7512322,9041,2057377561,273.8671
2024-09-02,274.28882,275.69668,273.07516,273.31789,273.31789,1615235,4870,442268171,273.8103
2024-09-03,274.5801,274.96848,265.55042,265.55042,265.55042,2344021,7456,630265788,268.8822
2024-09-04,263.60855,269.23997,262.58907,265.16205,265.16205,2449444,7836,650881576,265.7262
2024-09-05,263.22018,265.16205,262.73471,264.2882,264.2882,1800883,6068,475674705,264.1341
2024-09-06,262.15215,262.63762,259.04516,262.1036,262.1036,2535973,7625,663122604,261.4864
2024-09-09,261.32686,262.00651,259.2879,261.3754,261.3754,1900165,6847,495690345,260.8669
2024-09-10,262.1036,263.36582,256.32655,256.32655,256.32655,2042457,6797,528419557,258.7176
2024-09-11,257.39457,259.33644,256.52073,256.66637,256.66637,2166530,7182,557675027,257.4046
2024-09-12,260.21028,262.05506,257.39457,258.51115,258.51115,2245366,7074,582660930,259.4948
2024-09-13,259.23935,261.66668,258.85098,261.27831,261.27831,2276276,7658,594301349,261.0849
2024-09-16,259.38499,261.27831,258.60824,260.11319,260.11319,1661012,5754,431690304,259.8959
2024-09-17,260.25883,260.98703,257.58876,258.94807,258.94807,2295849,7203,595735957,259.4839
2024-09-18,257.97713,258.89952,256.22945,257.97713,257.97713,2284476,6175,589140368,257.8885
2024-09-19,260.79284,263.31727,254.28759,254.38468,254.38468,4797282,10748,1234709335,257.3768
2024-09-20,254.96724,256.56928,252.00589,253.41375,253.41375,7644082,8754,1941899451,254.0396
2024-09-23,255.20997,259.87046,254.38468,259.87046,259.87046,2343271,7248,603801715,257.6746
2024-09-24,260.7443,262.15215,258.70533,259.33644,259.33644,2548157,7511,662629189,260.0425
2024-09-25,257.49167,258.31696,253.3652,254.87015,254.87015,2560215,8436,654329467,255.5759
2024-09-26,248.51053,251.76316,245.88901,248.65617,248.65617,3908255,12667,972786973,248.9057
2024-09-27,249.91838,255.40416,249.7242,255.35561,255.35561,2795052,8839,710339712,254.1418
2024-09-30,256.76347,259.87046,255.88963,258.94807,258.94807,2983908,6866,770522761,258.226
2024-10-01,259.23935,265.30769,256.32655,263.85128,263.85128,3304998,9080,864039012,261.434
2024-10-02,268.94869,275.69668,268.94869,273.8519,273.8519,3504897,11026,958930360,273.5972
2024-10-03,274.14318,275.4054,270.84201,274.14318,274.14318,2402160,7605,655519791,272.8876
2024-10-04,276.0365,279.7746,274.77429,278.90076,278.90076,2680376,7434,744407755,277.7251
2024-10-07,279.33768,282.0563,266.61845,269.33706,269.33706,5545929,17619,1505827543,271.5194
2024-10-08,266.66699,267.83211,263.36582,263.36582,263.36582,3046918,8739,807191417,264.9206
2024-10-09,263.22018,263.80274,259.38499,259.77336,259.77336,2851513,10889,744489104,261.0856
2024-10-10,260.98703,264.62803,260.69575,264.3853,264.3853,2675189,7385,705049189,263.5511
2024-10-11,265.01641,266.86118,263.85128,265.89025,265.89025,2181533,5778,579398595,265.5923
2024-10-14,265.89025,267.73502,265.06495,266.52135,266.52135,2092173,5978,557505193,266.4718
2024-10-15,260.88994,262.05506,257.34603,257.92859,257.92859,2691172,9032,695484355,258.4317
2024-10-16,258.26841,261.18122,256.95765,258.26841,258.26841,1921623,5479,497510030,258.9009
2024-10-17,256.76347,259.33644,256.03527,258.17132,258.17132,1687681,5654,435370923,257.9699
2024-10-18,260.21028,261.42395,255.35561,255.35561,255.35561,1865226,5692,480565043,257.6443
2024-10-21,256.90911,262.2007,256.76347,259.33644,259.33644,1918654,5877,499029332,260.0933
2024-10-22,259.38499,262.39488,258.65679,261.3754,261.3754,1867767,5186,487194685,260.8433
2024-10-23,262.1036,262.73471,257.63731,259.77336,259.77336,2146574,6106,557325996,259.635
2024-10-24,261.66668,269.77398,260.40447,266.71554,266.71554,3180468,9630,846101878,266.0305
2024-10-25,266.81263,274.72574,265.79315,274.38592,274.38592,2769259,9053,752800066,271.8416
2024-10-28,264.57949,266.61845,262.73471,263.60855,263.60855,3203706,9960,845792099,264.0043
2024-10-29,264.77367,268.17194,264.09402,264.09402,264.09402,3267878,8076,866293041,265.0934
2024-10-30,264.57949,266.52135,262.29779,262.63762,262.63762,2729507,7284,718677878,263.2995
2024-10-31,261.71523,263.02599,256.03527,256.37509,256.37509,4126312,9861,1061683648,257.296
2024-11-01,253.51084,257.39457,251.47188,251.47188,251.47188,4799403,13445,1218298617,253.8438
2024-11-04,252.44281,256.76347,252.34572,252.73409,252.73409,3606178,8025,914605054,253.6217
2024-11-05,252.49136,255.35561,251.13205,252.83118,252.83118,3162594,8475,800300731,253.052
2024-11-06,246.66575,252.10298,240.0634,241.27707,241.27707,6429164,19122,1566150558,243.6009
2024-11-07,242.73347,245.84046,241.03434,242.58783,242.58783,3816402,9133,928193072,243.2116
2024-11-08,246.18029,248.07361,242.05382,243.36458,243.36458,5342847,11092,1307359403,244.6934
2024-11-11,244.57825,247.39396,243.85005,246.13174,246.13174,2508653,8559,616319738,245.6775
2024-11-12,244.57825,245.11226,243.02475,243.99569,243.99569,3609921,8460,881028374,244.0575
2024-11-13,244.04423,245.50063,241.95673,242.97621,242.97621,3102737,7180,754998215,243.3329
2024-11-14,252.44281,257.68585,248.41344,255.74399,255.74399,5769451,12763,1465116705,253.9438
2024-11-15,254.28759,263.31727,253.26811,263.22018,263.22018,5107085,12802,1326200753,259.6786
