date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,19.01,19.86,18.995,19.76,19.76,4481196,3102,87711893,19.5733
2024-05-14,19.8,20.26,19.235,19.6,19.6,5850118,3568,115511665,19.7452
2024-05-15,19.6,20.0,19.4,19.87,19.87,2959072,2126,58681779,19.8311
2024-05-16,19.93,20.3,19.76,20.11,20.11,3198798,2545,64410548,20.1359
2024-05-17,0.0,0.0,0.0,0.0,20.11,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,20.11,0,0,0,0.0
2024-05-21,20.4,21.32,20.3,20.8,20.8,5468345,3837,114363705,20.9138
2024-05-22,20.9,20.95,20.02,20.2,20.2,2823977,2265,57586665,20.392
2024-05-23,19.31,19.9,18.755,19.02,19.02,9385279,5507,180288973,19.2098
2024-05-24,18.98,20.08,18.9,19.81,19.81,4287354,3228,84292364,19.6607
2024-05-27,19.98,20.44,19.8,20.15,20.15,4519668,2831,91101897,20.1568
2024-05-28,20.96,21.69,20.47,21.55,21.55,11908204,6241,253726706,21.3069
2024-05-29,21.6,22.3,21.01,22.13,22.13,6438690,4290,140757147,21.8611
2024-05-30,21.9,22.67,21.73,21.97,21.97,4722961,3633,105194929,22.2731
2024-05-31,21.97,23.15,21.93,22.51,22.51,6835133,3853,154898682,22.6621
2024-06-03,22.97,23.28,22.2,22.35,22.35,4612352,3413,104039099,22.5566
2024-06-04,22.51,22.95,22.15,22.8,22.8,3740169,2975,84799763,22.6727
2024-06-05,22.75,23.19,22.6,23.02,23.02,2859961,2514,65490777,22.8992
2024-06-06,23.02,23.53,22.54,22.7,22.7,3172034,2552,73091102,23.0423
2024-06-07,22.6,23.1,22.04,22.35,22.35,4937179,3593,110705296,22.4228
2024-06-10,22.32,22.5,21.75,22.39,22.39,3729074,2978,82987037,22.2541
2024-06-11,22.13,22.2,20.8,21.22,21.22,8622760,5689,183578013,21.2899
2024-06-12,21.4,21.95,21.26,21.76,21.76,4195938,3340,90954749,21.6769
2024-06-13,21.8,22.07,20.4,20.53,20.53,5118449,4146,107747473,21.0508
2024-06-14,20.65,20.75,19.635,19.955,19.955,6694976,4995,134439286,20.0806
2024-06-17,20.0,21.09,19.9,20.99,20.99,5708571,2823,118765200,20.8058
2024-06-18,21.45,21.71,21.01,21.08,21.08,5424478,2555,115112123,21.2201
2024-06-19,21.29,21.57,20.77,21.03,21.03,7410737,3763,156743506,21.1509
2024-06-20,20.13,20.93,20.01,20.58,20.58,4565769,3847,93487258,20.4757
2024-06-21,20.55,20.87,20.26,20.35,20.35,2452057,1516,50153902,20.4538
2024-06-24,20.41,21.12,19.9,21.06,21.06,2964695,2268,61158922,20.6291
2024-06-25,21.08,21.35,20.86,21.1,21.1,1727473,1561,36420426,21.0831
2024-06-26,21.12,21.81,21.02,21.75,21.75,2466484,1822,53339714,21.6258
2024-06-27,21.83,22.89,21.83,22.81,22.81,4639506,3421,103963866,22.4084
2024-06-28,22.76,23.2,22.38,22.51,22.51,4047382,3412,91530944,22.6149
2024-07-01,22.67,22.7,21.74,22.03,22.03,3005248,3377,66396637,22.0936
2024-07-02,22.14,23.08,22.1,23.04,23.04,3796373,2838,86277139,22.7262
2024-07-03,23.0,23.39,22.7,23.29,23.29,2406280,2525,55628009,23.1178
2024-07-04,23.33,23.35,22.42,22.79,22.79,1845379,2216,41960792,22.7383
2024-07-05,22.88,22.89,22.11,22.48,22.48,2181365,2101,49057971,22.4896
2024-07-08,22.2,22.3,21.65,21.86,21.86,4195157,2741,92076498,21.9483
2024-07-09,21.68,22.1,21.4,22.0,22.0,2718144,1979,59394787,21.8512
2024-07-10,22.05,22.49,21.98,22.29,22.29,2053240,1656,45644245,22.2301
2024-07-11,22.22,22.24,21.3,21.3,21.3,2943338,2521,63803011,21.6771
2024-07-12,21.32,21.33,20.53,21.28,21.28,2681599,2167,56556608,21.0908
2024-07-15,21.0,21.07,20.54,20.88,20.88,2351246,2254,48833099,20.7694
2024-07-16,21.0,21.34,20.88,21.02,21.02,1717443,1547,36157207,21.0529
2024-07-17,21.02,21.11,20.72,21.02,21.02,1571050,1547,32862776,20.9177
2024-07-18,20.97,21.14,20.71,21.07,21.07,1653834,1528,34659095,20.9568
2024-07-19,21.06,21.06,20.44,20.56,20.56,1662259,1579,34253567,20.6066
2024-07-22,20.9,22.28,20.8,22.05,22.05,4000989,2902,87246022,21.8061
2024-07-23,22.19,22.39,21.83,22.13,22.13,2079317,2076,46002455,22.1238
2024-07-24,22.08,22.16,21.31,21.31,21.31,2071608,1964,44933439,21.6901
2024-07-25,21.26,22.17,21.11,21.45,21.45,2854648,2825,62220575,21.7962
2024-07-26,21.74,21.85,21.32,21.33,21.33,1903301,1816,41030554,21.5576
2024-07-29,21.49,22.45,21.49,22.4,22.4,3379649,2300,74778740,22.1262
2024-07-30,22.39,22.78,22.08,22.6,22.6,1929160,1883,43394777,22.4941
2024-07-31,22.81,22.94,22.41,22.89,22.89,2115018,1837,48178758,22.7794
2024-08-01,22.88,22.93,22.4,22.55,22.55,1814057,1662,41034540,22.6203
2024-08-02,22.19,22.19,21.55,21.62,21.62,3095405,2728,67533981,21.8175
2024-08-05,21.0,21.58,19.72,21.5,21.5,5494902,4529,115113155,20.9487
2024-08-06,21.75,22.53,21.05,21.7,21.7,2675053,2290,58232325,21.7687
2024-08-07,21.69,22.58,21.29,22.47,22.47,2779795,1919,61729166,22.2064
2024-08-08,22.07,22.55,21.72,22.49,22.49,2138133,1809,47441030,22.1881
2024-08-09,22.58,22.95,22.42,22.65,22.65,1651414,1602,37507015,22.7121
2024-08-12,22.85,23.37,22.75,22.98,22.98,3054156,2427,70547686,23.0989
2024-08-13,23.02,23.33,22.49,22.57,22.57,2293242,1902,52597232,22.9358
2024-08-14,22.64,22.97,22.2,22.92,22.92,1906897,1652,43177068,22.6426
2024-08-15,23.0,23.0,22.03,22.22,22.22,3042577,2375,67959137,22.336
2024-08-16,22.65,22.7,22.01,22.12,22.12,1902444,1767,42286024,22.2272
2024-08-19,22.12,22.53,21.78,22.5,22.5,3193284,2677,71032426,22.2443
2024-08-20,22.5,22.5,21.56,21.64,21.64,3201652,2561,69801408,21.8017
2024-08-21,21.72,22.24,21.65,22.13,22.13,1842688,1741,40658020,22.0645
2024-08-22,22.12,22.23,21.43,22.16,22.16,2785508,2184,60893045,21.8607
2024-08-23,22.32,22.38,21.66,22.18,22.18,2698007,2106,59408724,22.0195
2024-08-26,22.82,23.67,22.76,23.36,23.36,5810352,4192,135173108,23.2644
2024-08-27,23.65,24.5,23.3,24.5,24.5,4425910,3545,106086765,23.9695
