date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,20.68,20.8,20.36,20.74,20.74,1248968,929,25764862,20.6289
2024-05-14,20.76,21.38,20.64,21.34,21.34,1152600,856,24310250,21.0917
2024-05-15,21.4,21.8,21.32,21.64,21.64,945874,732,20370861,21.5365
2024-05-16,21.42,21.7,21.22,21.62,21.62,753119,658,16160932,21.4587
2024-05-17,0.0,0.0,0.0,0.0,21.62,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,21.62,0,0,0,0.0
2024-05-21,21.62,22.0,21.58,21.66,21.66,1017721,741,22170778,21.7847
2024-05-22,21.9,21.9,21.06,21.12,21.12,605728,569,12865346,21.2395
2024-05-23,21.12,21.2,20.6,20.6,20.6,744604,585,15515366,20.8371
2024-05-24,20.64,20.82,20.22,20.66,20.66,1307712,813,26755549,20.4598
2024-05-27,20.66,21.12,20.62,21.06,21.06,515764,418,10804031,20.9476
2024-05-28,21.06,21.3,20.98,21.22,21.22,667937,761,14114838,21.132
2024-05-29,21.36,21.46,21.0,21.06,21.06,733859,587,15538351,21.1735
2024-05-30,21.24,21.9,20.9,21.5,21.5,1014908,735,21877599,21.5562
2024-05-31,21.5,22.0,21.5,21.76,21.76,1470415,864,32042443,21.7914
2024-06-03,21.9,22.04,21.74,21.76,21.76,706024,492,15445325,21.8765
2024-06-04,21.7,21.78,20.92,21.0,21.0,1523644,801,32110352,21.0747
2024-06-05,21.0,21.04,20.54,20.6,20.6,626306,536,13039619,20.8199
2024-06-06,20.64,20.74,20.3,20.36,20.36,538099,508,11020517,20.4805
2024-06-07,20.36,20.36,19.81,20.04,20.04,927577,714,18544900,19.9928
2024-06-10,20.04,20.42,19.83,20.2,20.2,508388,389,10251508,20.1647
2024-06-11,20.24,20.46,20.12,20.16,20.16,563636,479,11414208,20.251
2024-06-12,20.2,20.4,20.08,20.2,20.2,1098840,751,22203277,20.2061
2024-06-13,20.3,20.3,19.86,19.86,19.86,718855,703,14391653,20.0202
2024-06-14,19.86,20.54,19.68,20.06,20.06,1392981,1173,28122975,20.1891
2024-06-17,19.84,19.96,19.6,19.69,19.69,774064,851,15254560,19.7071
2024-06-18,19.7,19.96,19.69,19.85,19.85,515451,500,10222197,19.8316
2024-06-19,19.8,20.22,19.8,20.2,20.2,471379,453,9492111,20.1369
2024-06-20,20.12,20.7,20.0,20.7,20.7,971785,781,19959363,20.5389
2024-06-21,20.8,20.8,20.46,20.66,20.66,858469,623,17689411,20.6058
2024-06-24,20.7,20.94,20.64,20.8,20.8,710266,573,14775933,20.8034
2024-06-25,20.8,20.8,19.82,20.02,20.02,863812,682,17392093,20.1341
2024-06-26,20.0,20.4,19.89,19.93,19.93,406828,448,8159224,20.0557
2024-06-27,19.94,20.3,19.82,20.16,20.16,679630,429,13646560,20.0794
2024-06-28,20.28,20.48,20.16,20.24,20.24,308830,437,6278009,20.3284
2024-07-01,20.42,20.64,20.28,20.48,20.48,574596,450,11756490,20.4604
2024-07-02,20.72,20.72,19.95,20.06,20.06,467990,429,9421879,20.1327
2024-07-03,20.1,20.48,20.1,20.48,20.48,495584,368,10107090,20.3943
2024-07-04,20.32,20.72,20.32,20.5,20.5,402493,369,8260438,20.5232
2024-07-05,20.5,20.8,20.46,20.54,20.54,398526,419,8209658,20.6001
2024-07-08,20.4,20.5,20.14,20.32,20.32,309209,334,6287842,20.3352
2024-07-09,20.22,20.24,20.04,20.1,20.1,290327,405,5845560,20.1344
2024-07-10,20.2,20.22,19.95,20.06,20.06,457830,466,9172659,20.0351
2024-07-11,20.2,20.46,20.06,20.3,20.3,454516,524,9214092,20.2723
2024-07-12,20.82,23.18,20.76,22.78,22.78,5486115,3851,122587824,22.3451
2024-07-15,22.68,23.5,22.62,22.8,22.8,1736447,1396,40057347,23.0686
2024-07-16,22.8,23.04,22.68,22.72,22.72,845249,808,19305108,22.8396
2024-07-17,22.7,22.94,22.3,22.74,22.74,930269,947,21026077,22.6021
2024-07-18,22.52,22.8,22.24,22.52,22.52,596127,624,13404815,22.4865
2024-07-19,22.52,22.76,22.08,22.76,22.76,569384,632,12808754,22.4958
2024-07-22,22.58,22.76,22.46,22.56,22.56,441573,510,9979438,22.5997
2024-07-23,22.46,22.56,21.74,21.74,21.74,724550,751,15971654,22.0436
2024-07-24,21.7,22.12,21.52,21.88,21.88,624735,621,13672716,21.8856
2024-07-25,21.7,22.22,21.62,22.22,22.22,479717,526,10579940,22.0545
2024-07-26,22.22,22.74,22.2,22.44,22.44,465514,565,10472965,22.4976
2024-07-29,22.3,22.6,22.3,22.46,22.46,440502,426,9895387,22.4639
2024-07-30,21.9,22.6,21.9,22.4,22.4,422550,504,9468554,22.4081
2024-07-31,22.52,22.86,22.5,22.78,22.78,633640,562,14397064,22.7212
2024-08-01,22.76,23.0,22.62,22.78,22.78,358550,365,8193172,22.8509
2024-08-02,22.58,22.58,21.52,21.62,21.62,931422,689,20371696,21.8716
2024-08-05,20.76,20.76,19.89,20.06,20.06,1735968,1363,35085362,20.2108
2024-08-06,20.68,21.1,19.98,20.2,20.2,913960,825,18693571,20.4534
2024-08-07,20.48,20.72,20.08,20.58,20.58,937636,1071,19144617,20.418
2024-08-08,20.3,20.48,20.14,20.42,20.42,683109,499,13890756,20.3346
