date,open,high,low,last,close,number_of_shares,number_of_trades,turnover,vwap
2024-05-13,77.156479,77.203099,76.410555,76.736897,76.736897,1112920,1489,85398336,76.7336
2024-05-14,76.550416,77.063239,76.363935,76.690277,76.690277,1170338,1419,89790782,76.7221
2024-05-15,76.643656,77.203099,76.457176,76.550416,76.550416,1780524,1433,136450893,76.6352
2024-05-16,76.550416,77.016618,76.410555,76.736897,76.736897,1846996,2058,141788426,76.767
2024-05-17,0.0,0.0,0.0,0.0,76.736897,0,0,0,0.0
2024-05-20,0.0,0.0,0.0,0.0,76.736897,0,0,0,0.0
2024-05-21,77.576061,77.622681,76.923378,77.38958,77.38958,1730300,2133,133810334,77.3336
2024-05-22,77.29634,77.809162,76.969998,77.576061,77.576061,1153264,1196,89376644,77.4988
2024-05-23,77.576061,77.669302,76.690277,76.690277,76.690277,1342046,1379,103206390,76.9023
2024-05-24,76.597036,77.063239,76.410555,76.969998,76.969998,828935,943,63775559,76.9367
2024-05-27,76.969998,77.016618,76.597036,76.923378,76.923378,564317,1071,43401000,76.9089
2024-05-28,76.923378,77.109859,76.550416,76.736897,76.736897,972682,1082,74646708,76.7431
2024-05-29,76.783517,78.321985,76.783517,78.321985,78.321985,1985765,1374,155141798,78.1269
2024-05-30,78.275364,78.881427,78.088884,78.321985,78.321985,1325274,1108,103862497,78.3706
2024-05-31,78.321985,79.207769,77.902403,77.902403,77.902403,4575696,1828,356847743,77.9876
2024-06-03,78.368605,79.161149,78.368605,79.114529,79.114529,935136,1044,73817178,78.9373
2024-06-04,79.161149,80.419895,79.161149,79.627351,79.627351,1631304,1413,130006754,79.695
2024-06-05,79.813832,80.606376,79.673971,80.093553,80.093553,1534916,1187,123072023,80.1816
2024-06-06,80.093553,81.259059,80.093553,81.259059,81.259059,1562662,1282,126584232,81.0055
2024-06-07,81.259059,82.191464,80.839477,82.191464,82.191464,1346750,1358,110211314,81.835
2024-06-10,81.771882,82.004983,80.606376,80.839477,80.839477,642271,730,52019045,80.9923
2024-06-11,80.979338,81.538781,80.513135,80.746237,80.746237,745890,810,60288019,80.8269
2024-06-12,80.746237,81.538781,80.513135,81.3523,81.3523,822206,914,66810684,81.2578
2024-06-13,81.49216,83.590071,81.3523,83.590071,83.590071,1625859,1650,135152547,83.1268
2024-06-14,83.636691,84.335994,83.49683,84.102893,84.102893,1577461,1582,132547882,84.0261
2024-06-17,84.009653,84.009653,82.750906,83.123868,83.123868,1031106,1114,85754867,83.1678
2024-06-18,83.123868,83.54345,82.517805,83.170489,83.170489,1337562,1148,111049968,83.0242
2024-06-19,82.890767,83.170489,82.704286,82.844147,82.844147,1263997,674,104755844,82.8766
2024-06-20,82.844147,82.890767,82.004983,82.564426,82.564426,1449898,992,119668766,82.536
2024-06-21,82.424565,82.704286,82.004983,82.424565,82.424565,3639597,1836,299703689,82.3453
2024-06-24,82.424565,82.564426,81.865122,82.191464,82.191464,1184273,963,97274912,82.1389
2024-06-25,82.284704,82.564426,81.725261,82.424565,82.424565,1492907,890,122933817,82.3452
2024-06-26,82.564426,82.564426,80.559756,81.072578,81.072578,1402533,1150,113923243,81.2267
2024-06-27,81.165819,81.818502,80.792857,81.072578,81.072578,944063,962,76629685,81.1701
2024-06-28,81.212439,81.212439,80.046933,80.886097,80.886097,1070011,1050,86441194,80.7853
2024-07-01,80.093553,80.186794,78.648326,79.627351,79.627351,1398214,1610,111101548,79.4596
2024-07-02,79.161149,79.161149,78.555086,78.834807,78.834807,1070543,1137,84389282,78.8284
2024-07-03,78.974668,79.021288,78.182124,78.881427,78.881427,955385,899,75296102,78.8123
2024-07-04,78.788187,79.207769,78.601706,78.974668,78.974668,635976,727,50228631,78.9788
2024-07-05,79.067908,79.34763,78.321985,78.321985,78.321985,784548,684,61580910,78.4921
2024-07-08,78.508466,79.39425,78.461845,79.39425,79.39425,751388,885,59568489,79.2779
2024-07-09,79.48749,80.000313,79.39425,79.860452,79.860452,1357733,911,108366101,79.814
2024-07-10,80.046933,80.513135,79.627351,79.953693,79.953693,903145,1086,72258929,80.0081
2024-07-11,80.093553,80.093553,78.601706,79.067908,79.067908,899302,851,71147859,79.1145
2024-07-12,79.067908,79.534111,78.555086,79.534111,79.534111,759654,871,60294329,79.3708
2024-07-15,82.564426,84.848817,82.471185,83.776552,83.776552,2149495,3168,180523449,83.9841
2024-07-16,84.242754,84.242754,81.44554,82.704286,82.704286,1518177,1465,125441002,82.626
2024-07-17,83.030628,83.636691,82.564426,83.356969,83.356969,1027819,947,85440002,83.1274
2024-07-18,83.729931,84.382614,83.356969,83.823172,83.823172,1105451,1286,92691482,83.8494
2024-07-19,83.54345,85.921082,83.54345,85.315019,85.315019,1089065,1427,92890394,85.2936
2024-07-22,85.315019,85.59474,84.895437,84.942057,84.942057,457702,760,38866574,84.9167
2024-07-23,85.128538,85.40826,84.569095,84.895437,84.895437,500843,616,42527681,84.9121
2024-07-24,84.569095,84.802197,83.590071,84.242754,84.242754,766612,938,64548931,84.2002
2024-07-25,84.196134,84.335994,83.170489,84.242754,84.242754,618088,995,51915268,83.9932
2024-07-26,83.963032,84.522475,83.49683,84.382614,84.382614,581144,923,48988582,84.2967
2024-07-29,84.662336,85.315019,84.102893,85.315019,85.315019,677902,810,57720323,85.1455
2024-07-30,85.45488,85.734601,85.221779,85.641361,85.641361,789926,640,67614883,85.5964
2024-07-31,85.781221,86.387284,85.781221,85.874462,85.874462,1070895,981,91996650,85.9063
2024-08-01,85.967702,85.967702,84.382614,85.035298,85.035298,793217,871,67403804,84.9751
2024-08-02,84.895437,85.221779,83.45021,84.708956,84.708956,805584,1018,68161645,84.6114
