date,next_date,ticker,target_abs_return,target_rel_return,mom_12_1,mom_6m,mom_3m,ret_1m,vol_3m,vol_12m,max_drawdown_12m,above_sma50,above_sma200,dist_sma200,volume_ratio_20_252,log_dollar_volume_20,log_market_cap,book_to_market,earnings_yield,fcf_yield,ebitda_yield_ev,roe_ttm,fcf_to_assets_ttm,debt_to_equity,net_debt_to_ebitda_ttm,eps_growth_yoy,momentum_6m,momentum_12m
2000-12-29,2001-01-31,ATEA,0.34402300428456045,0.3400606479518974,-0.5857141831864623,-0.23608024574205677,-0.35283012734261554,-0.0901858317519304,0.4833890122772685,0.5592503556705444,-0.7254098561247692,0.0,0.0,-0.3249426249000973,1.0540268626196418,16.58558645712126,8.496596226402918,1.5860304938242396,-0.12997767902404683,,-0.013248258375178533,-0.08195156368692788,,0.09952490697704361,-2.391044776119403,,-0.23608024574205677,-0.6230768941588191
2000-12-29,2001-01-31,DNB,-0.094736869453101,-0.09869922578576405,0.40924068702927396,0.345609159014437,0.18750009202946294,0.1124124284159076,0.28896580936554556,0.2671757341527236,-0.14117636422286228,1.0,1.0,0.26103407533695533,0.9367803001421156,16.745970412654657,10.466594453919162,0.6973810341204758,0.08136583382287495,,0.06048281349716233,0.11667342506022128,,3.154411464500061,10.684929225645295,,0.345609159014437,0.5676568548807368
2000-12-29,2001-01-31,KOG,0.05882412991268171,0.05486177358001866,-0.2617387043125827,-0.15000043116689932,-0.13265340578991192,-0.034091399053294724,0.28347168016466795,0.3710848399207387,-0.328853503201993,0.0,0.0,-0.12260508542682136,0.6230734775535945,13.771715768304485,7.82402791752435,0.5550320551104062,-0.03791777316191458,,0.09046502218299328,-0.06831636625811105,,0.8204758471521268,3.0955414012738856,,-0.15000043116689932,-0.2869070647494648
2000-12-29,2001-01-31,MOWI,-0.1999998250335061,-0.20396218136616914,1.7536222424625416,0.42857133930281477,-0.15492968159083853,0.26315784820835786,0.5063102687996237,0.551553110274924,-0.3987342482839278,1.0,1.0,0.1922649955467326,0.45398247114151347,15.961816343517716,6.106414841700346,1.6265515937267896,0.010346767435994584,,0.21862877695686408,0.006361167684996606,,4.103077619370898,3.956230104592997,,0.42857133930281477,2.478259546567657
2000-12-29,2001-01-31,ORK,-0.02873560164295752,-0.03269795797562057,0.2280229708476067,0.10126596205391114,-0.01971828931527919,0.041916236626927894,0.27176409398338663,0.27621392642313075,-0.17013860981583062,1.0,1.0,0.09334501735786138,0.41520073482931874,18.047049874415016,10.510428682530712,0.48559475097281646,0.09568965727027055,0.04330265779762082,0.09442243675123806,0.1970566137269207,0.036281023814416516,0.9503900331107245,1.0594805194805195,,0.10126596205391114,0.27949707227695786
2000-12-29,2001-01-31,STB,-0.02400014935528305,-0.0279625056879461,0.15333870235296865,0.0,-0.03846151288980537,-0.023437576493561263,0.3438092841823697,0.3148778691033005,-0.1928569990970277,0.0,1.0,0.012955124757039638,0.5191066416158989,16.446713439690647,9.761220283897142,0.6263868565192737,0.04666030970395807,,0.30434612203747596,0.074491201752287,,1.493566971598962,1.5881627620221948,,0.0,0.12630723829358637
2000-12-29,2001-01-31,TEL,0.17187477770212367,0.16791242136946063,,,,,0.40694520199655354,0.40694520199655354,-0.11004790746061321,0.0,0.0,-0.017505948211546052,1.0,17.67722492219037,10.892303615950198,0.38547245492079607,0.011197916221701455,,0.07112372678488861,0.02904984799498142,,2.60222940693915,6.859362443075274,,,
2000-12-29,2001-01-31,TOM,-0.06432783434356104,-0.06829019067622409,1.6573146240760388,0.5580870562252225,0.15932246769870462,0.023952565334372844,0.6851731487822192,0.6412857796771444,-0.2371393424485334,0.0,1.0,0.3377674599764562,0.5077334426678507,17.898710708150755,10.312322808643845,0.09582402552409247,,,,,,0.19840589646897497,,,0.5580870562252225,1.7209641262232047
2000-12-29,2001-01-31,VEI,-0.009008967679333568,-0.012971324011996618,-0.14179061232546164,-0.14615389590591166,-0.04310355212561756,-0.026315570777536434,0.4855076339100642,0.4083595252164925,-0.24285700509865904,0.0,0.0,-0.08161458063112681,0.6471889583997277,14.420245040970567,7.1435828813053615,1.0490483102933756,0.06216216002585745,,0.16959125558030688,0.05925576488319518,,1.4318010550113036,3.053932584269663,,-0.14615389590591166,-0.16437488220875718
2001-01-31,2001-02-28,ATEA,-0.15835131090680232,-0.20980677247538085,-0.6921052709113837,0.02217286047284417,-0.01073000141819136,0.31339010210315554,0.5312731409482979,0.5513242647903318,-0.7288134672992816,1.0,0.0,-0.024730964377017828,1.241823552483499,16.866484727186922,8.792211519957672,1.1800617841726702,-0.09670790846013631,,-0.009937742231403162,-0.08195156368692788,,0.09952490697704361,-2.391044776119403,,0.02217286047284417,-0.5956141103252788
2001-01-31,2001-02-28,DNB,0.05581387127358761,0.004358409705009086,0.6026934259069425,0.14361722720169756,0.02870840108022854,-0.09663845146181849,0.28466981824492754,0.27079712708696585,-0.14117636422286228,0.0,1.0,0.09928034014030618,1.0233527893252248,16.775216080121016,10.367067847031041,0.7703627634310733,0.08988086214836032,,0.06258004095068329,0.11667342506022128,,3.154411464500061,10.684929225645295,,0.14361722720169756,0.4478116150592588
2001-01-31,2001-02-28,KOG,0.11111104457301324,0.059655583004434715,-0.1802532891571459,-0.09090869003062263,-0.021738957234448297,0.040462457638787974,0.37721969813208694,0.38331158457783826,-0.3119337573448202,1.0,0.0,-0.06032351614109821,0.26600514608153397,12.908686255198658,7.881164323657008,0.5241968281067148,-0.035811222500278406,,0.08678941604077282,-0.06831636625811105,,0.8204758471521268,3.0955414012738856,,-0.09090869003062263,-0.14708432259513105
2001-01-31,2001-02-28,MOWI,0.30208297565451114,0.25062751408593265,1.601093213412275,-0.30935245387078203,-0.23809538885995463,-0.19327737171350168,0.5119033996777184,0.5401167864173702,-0.41265830118767455,0.0,0.0,-0.09848780882966812,0.3278061042449801,15.507860183135527,5.883828332030182,2.028254555715512,0.012902067336764663,,0.22463737067457504,0.006361167684996606,,4.103077619370898,3.956230104592997,,-0.30935245387078203,1.0983607535421243
2001-01-31,2001-02-28,ORK,0.062129671819801,0.010674210251222477,0.3760739181168167,0.018072269023273968,-0.005882346542160577,-0.04519749337223933,0.2551966008222849,0.2659415895438288,-0.14336905561537394,0.0,1.0,0.030911100872248243,0.4156102096557836,17.96562628343158,10.481272903826202,0.4999614599057675,0.09852071228299819,0.04458380154836212,0.09692911641781869,0.1970566137269207,0.036281023814416516,0.9503900331107245,1.0594805194805195,,0.018072269023273968,0.31387882632302055
2001-01-31,2001-02-28,STB,0.0,-0.051455461568578525,0.24444442452585435,-0.10294142320680644,-0.05426363964551162,-0.07575771961324618,0.35449288708526977,0.3145349538856378,-0.1928569990970277,0.0,0.0,-0.029916819230347502,0.7805521741949188,16.851918424814922,9.736929041558895,0.6417897909872317,0.04780769280298798,,0.30816725898150965,0.074491201752287,,1.493566971598962,1.5881627620221948,,-0.10294142320680644,0.15016815273835715
2001-01-31,2001-02-28,TEL,-0.09333346723825431,-0.14478892880683283,,,,0.13924075748288267,0.33194842130185737,0.33194842130185737,-0.11004790746061321,1.0,1.0,0.12936956737296335,1.0304177465410111,17.70157405582754,11.050905878263567,0.3289365079365079,0.009555555555555555,,0.06536966343291423,0.02904984799498142,,2.60222940693915,6.859362443075274,,,
2001-01-31,2001-02-28,TOM,0.02812511359290526,-0.023330347975673266,1.9296378353452956,0.19850193030451568,-0.15789475935204167,-0.10614507422822261,0.8069836897522444,0.6826839536180879,-0.33249686638050724,0.0,1.0,0.1650449932216349,1.1339162047039635,18.564370652694034,10.245835351328815,0.1021633607964339,,,,,,0.19840589646897497,,,0.19850193030451568,1.6186712098507599
2001-01-31,2001-02-28,VEI,-0.054545417354467496,-0.10600087892304602,-0.03533792600288854,-0.14062499710879073,-0.05172420129698696,-0.06779650470720133,0.46398742300195434,0.4214947706496514,-0.24285700509865904,0.0,0.0,-0.08859374522131225,0.7220036104083359,14.362095827356455,7.1345401924826115,1.0585851494942404,0.06272727272727273,,0.17033101632115627,0.05925576488319518,,1.4318010550113036,3.053932584269663,,-0.14062499710879073,-0.10073864284349221
2001-02-28,2001-03-30,ATEA,-0.34278342437996756,-0.2679639973317237,-0.5185184856083507,-0.3009009280608026,0.02374669643414684,-0.14725278405760722,0.5153497407783512,0.5464062153236302,-0.6424580388262825,0.0,0.0,-0.15157880155611492,1.5090279124266963,17.120182161579624,8.619847470220263,1.4020836157999395,-0.11490294473462687,,-0.011754919614155994,-0.08195156368692788,,0.09952490697704361,-2.391044776119403,,-0.3009009280608026,-0.5894179790747939
2001-02-28,2001-03-30,DNB,-0.08810562454442805,-0.013286197496184204,0.30211468151574183,0.14936675047887715,0.011135686480475027,0.05336427925750864,0.22522524700502478,0.2522783525359336,-0.14117636422286228,1.0,1.0,0.12237319571642669,1.0797322092333208,16.78296020350276,10.421378133423744,0.7296387701232129,0.0851294543670027,,0.061443749610591535,0.11667342506022128,,3.154411464500061,10.684929225645295,,0.14936675047887715,0.37160109300544986
