lookback_days,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return
63,10,0.033167434597829226,0.016505390329668135,-0.02403225239207274,0.4704535602874094,0.37680370343265723,0.39099862331886404
189,3,0.029073173461255486,0.014482358198908862,-0.06219977929296161,0.2967171106206396,0.37680370343265723,0.39099862331886404
63,8,0.024897556732881965,0.012414991929192709,-0.029418188419488178,0.3254072085837156,0.37680370343265723,0.39099862331886404
42,10,0.023130241810530583,0.011538722622707054,-0.027071485635775216,0.3099872586016412,0.37680370343265723,0.39099862331886404
126,3,0.014196482244317021,0.007097601781328677,-0.07079585382973475,0.16806577544703452,0.37680370343265723,0.39099862331886404
189,10,0.013701001555048276,0.006850720643148955,-0.028747535797539192,0.2978773501395077,0.37680370343265723,0.39099862331886404
189,5,0.001767799278106441,0.0008865447185197883,-0.059667460627989444,0.0418328320416739,0.37680370343265723,0.39099862331886404
189,8,0.0010966321521257427,0.0005500487884080307,-0.04255719210201481,0.03337580734946296,0.37680370343265723,0.39099862331886404
21,10,0.0004963456191433568,0.00024899426448543593,-0.037670709465965735,0.026712189036677287,0.37680370343265723,0.39099862331886404
126,10,4.4399076610135424e-05,2.2275526581960747e-05,-0.04063305970137143,0.016122375963614804,0.37680370343265723,0.39099862331886404
126,5,-0.00013290907109764216,-6.668495302875055e-05,-0.05453332377769293,0.016867571857531516,0.37680370343265723,0.39099862331886404
126,8,-0.003402723004860886,-0.0017086538532192774,-0.05074350429131946,-0.0359949119120678,0.37680370343265723,0.39099862331886404
252,10,-0.008067032382459871,-0.004055535021544765,-0.022177471565938744,-0.18408107429641501,0.37680370343265723,0.39099862331886404
42,8,-0.011899927653013176,-0.0059882032077740455,-0.041240878396467284,-0.1330598107171797,0.37680370343265723,0.39099862331886404
21,8,-0.013392738512921887,-0.006741936676015858,-0.044043913895397635,-0.130695697047901,0.37680370343265723,0.39099862331886404
63,5,-0.016776094558740517,-0.008452329512994905,-0.04517521694913573,-0.2038823188205055,0.37680370343265723,0.39099862331886404
252,8,-0.01987553862084246,-0.010021771638971999,-0.02884957707426883,-0.4445331276808312,0.37680370343265723,0.39099862331886404
252,3,-0.021444651502901424,-0.010817254404308474,-0.03387103809400671,-0.5206732471898855,0.37680370343265723,0.39099862331886404
21,5,-0.02451473339439103,-0.01237551399120762,-0.06855170670228605,-0.22232309799754615,0.37680370343265723,0.39099862331886404
42,5,-0.04142162229339286,-0.021000954658278337,-0.0683205738022693,-0.4222952370730608,0.37680370343265723,0.39099862331886404
252,5,-0.04400703407721496,-0.022326624377049464,-0.053258525878199126,-0.9690752424893894,0.37680370343265723,0.39099862331886404
63,3,-0.0671453999786561,-0.034271277511906395,-0.09371072616014064,-0.7744267078196249,0.37680370343265723,0.39099862331886404
42,3,-0.07815045425514666,-0.04000417757493535,-0.09244405843570636,-0.7148455693929797,0.37680370343265723,0.39099862331886404
21,3,-0.07831426653805185,-0.040089769704844014,-0.09906747369957258,-0.6901405174548196,0.37680370343265723,0.39099862331886404
