strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
momentum_volume,42,21,10,50,63,50,63,63,20,0.25,8,0.03949235084198066,0.019622784545566763,-0.03251445135884745,0.4611060415480149,0.37680370343265723,0.39099862331886404,-0.3515062724768834
breakout_liquidity,189,21,10,50,63,50,63,63,20,0.25,10,0.03942454750403579,0.019589416158737105,-0.023878643043946046,0.49883398268141976,0.37680370343265723,0.39099862331886404,-0.35157407581482825
breakout_liquidity,189,21,10,50,126,50,63,63,20,0.25,3,0.039357755590252896,0.019556544468536385,-0.04015578994878655,0.3474742433700502,0.37680370343265723,0.39099862331886404,-0.35164086772861114
volume_trend_confirmation,42,21,5,20,63,50,63,63,20,0.25,8,0.0393235813416144,0.019539725179516187,-0.033230964669642704,0.46589991503976086,0.37680370343265723,0.39099862331886404,-0.35167504197724964
momentum_volume,42,21,10,50,63,50,63,63,20,0.25,5,0.039142782788760044,0.01945073829749666,-0.03246150615085286,0.3788865194463129,0.37680370343265723,0.39099862331886404,-0.351855840530104
risk_adjusted_momentum,63,21,5,20,63,50,63,63,20,0.25,8,0.038907333258957344,0.01933484129328722,-0.026445383649398968,0.4399623582896027,0.37680370343265723,0.39099862331886404,-0.3520912900599067
volume_reversal,21,21,20,100,63,50,63,63,20,0.25,5,0.038578885983566735,0.019173145479180143,-0.02816907652592815,0.5379159947588589,0.37680370343265723,0.39099862331886404,-0.3524197373352973
breakout_liquidity,63,21,10,50,63,50,63,63,20,0.25,8,0.03842750029517661,0.01909860916376327,-0.027366501363914275,0.42500239587119226,0.37680370343265723,0.39099862331886404,-0.3525711230236874
liquidity_momentum,21,21,10,50,63,50,63,63,20,0.25,8,0.03819393033838692,0.01898359794835658,-0.034872840090314994,0.40459616733480597,0.37680370343265723,0.39099862331886404,-0.3528046929804771
volume_reversal,21,21,10,50,63,50,63,63,20,0.25,3,0.038148285822165784,0.018961120815177868,-0.03870129581886095,0.36269637465958027,0.37680370343265723,0.39099862331886404,-0.35285033749669825
obv_accumulation,42,21,20,100,63,50,63,63,20,0.25,8,0.038093304631489744,0.018934045286910894,-0.0305786253272049,0.47999152010136614,0.37680370343265723,0.39099862331886404,-0.3529053186873743
breakout_volume,126,21,5,20,63,50,63,63,20,0.25,5,0.037976150917103046,0.018876350469566594,-0.02058514974953607,0.4638760123099844,0.37680370343265723,0.39099862331886404,-0.353022472401761
liquidity_momentum,42,21,10,50,63,50,63,63,20,0.25,8,0.03773653705691893,0.018758337464931607,-0.02900732133210837,0.45519784048761164,0.37680370343265723,0.39099862331886404,-0.3532620862619451
breakout_liquidity,126,21,10,50,63,50,63,63,20,0.25,3,0.03756224697468702,0.01867248875723826,-0.04200373409676228,0.3272160652324975,0.37680370343265723,0.39099862331886404,-0.353436376344177
