date,AFG,AKRBP,ATEA,BRG,DNB,ELK,EQNR,FRO,GJF,KOG,MOWI,MPCC,NHY,NOD,ORK,PROT,SALM,STB,SUBC,TEL,TOM,VAR,VEI,VEND,YAR
2000-02-17,4000.0,,324175.0,,2826625.0,,3815510.0,27109.0,,556475.0,1267.0,,14171711.0,520000.0,8822900.0,,,248954.0,11300.0,,1240224.0,,1090000.0,,
2000-02-18,13000.0,,255626.0,,2375797.0,,5923255.0,86979.0,,1342682.0,1899.0,,22000377.0,457750.0,60409525.0,,,1026974.0,21500.0,,8555208.0,,35308000.0,,
2000-02-21,0.0,,107252.0,,1447937.0,,3684230.0,100007.0,,289080.0,2271.0,,13684106.0,65000.0,4637125.0,,,347662.0,167816.0,,2118456.0,,40000.0,,
2000-02-22,0.0,,509749.0,,2546261.0,,2019190.0,29807.0,,1362021.0,1307.0,,7499751.0,45000.0,28373125.0,,,608369.0,204950.0,,9037368.0,,110000.0,,
2000-02-23,20000.0,,302664.0,,3729249.0,,3904620.0,290324.0,,473091.0,774.0,,14502687.0,112500.0,21548425.0,,,468011.0,5200.0,,5908376.0,,325000.0,,
2000-02-24,2000.0,,297067.0,,1699923.0,,3375025.0,31625.0,,2990861.0,2707.0,,12535645.0,392500.0,5374950.0,,,1024824.0,18700.0,,3969840.0,,392400.0,,
2000-02-25,4000.0,,110104.0,,2818059.0,,3180605.0,44531.0,,1256375.0,6802.0,,11813523.0,358250.0,5621400.0,,,831711.0,88000.0,,2680480.0,,2430000.0,,
2000-02-28,0.0,,392751.0,,1707522.0,,1520590.0,22855.0,,7258678.0,5912.0,,5647832.0,541325.0,9651825.0,,,452163.0,17500.0,,2815240.0,,250000.0,,
2000-02-29,33000.0,,296520.0,,2097581.0,,2407935.0,47779.0,,5014543.0,6241.0,,8943643.0,135000.0,15083875.0,,,339550.0,88300.0,,5993720.0,,372000.0,,
2000-03-01,500000.0,,170373.0,,1376576.0,,1745765.0,43563.0,,1332944.0,3200.0,,6484186.0,1440000.0,12758125.0,,,510319.0,115000.0,,4648536.0,,1102100.0,,
2000-03-02,2000.0,,119838.0,,989213.0,,2290145.0,34012.0,,149639.0,1547.0,,8506143.0,145000.0,14032250.0,,,840146.0,241600.0,,2791240.0,,170000.0,,
2000-03-03,4000.0,,87260.0,,1925636.0,,1878925.0,25469.0,,1029061.0,1325.0,,6978774.0,297500.0,14669400.0,,,419176.0,321300.0,,1814880.0,,3440000.0,,
2000-03-06,450000.0,,196327.0,,1268137.0,,2195545.0,42475.0,,608918.0,2288.0,,8154776.0,100000.0,15110750.0,,,324136.0,58950.0,,2021864.0,,850000.0,,
2000-03-07,0.0,,166730.0,,4482385.0,,3517975.0,53292.0,,1255132.0,2159.0,,13066595.0,1605500.0,32514900.0,,,428347.0,423441.0,,4065240.0,,385500.0,,
2000-03-08,0.0,,184532.0,,5929445.0,,5889290.0,62335.0,,123165.0,3699.0,,21874223.0,457500.0,27640750.0,,,675874.0,366700.0,,2545216.0,,730000.0,,
2000-03-09,600000.0,,258027.0,,4368802.0,,1854820.0,402856.0,,439710.0,4322.0,,6889242.0,615000.0,40306000.0,,,449103.0,452100.0,,2528584.0,,1102000.0,,
2000-03-10,597415.0,,508345.0,,1210103.0,,1804730.0,78375.0,,5530685.0,4999.0,,6703196.0,700000.0,10413075.0,,,702725.0,120700.0,,1564352.0,,350000.0,,
2000-03-13,0.0,,0.0,,0.0,,0.0,0.0,,101294.0,2473.0,,0.0,12500.0,0.0,,,0.0,72900.0,,0.0,,0.0,,
2000-03-14,16000.0,,221613.0,,678302.0,,2103760.0,59406.0,,18417.0,802.0,,7813864.0,176250.0,7397475.0,,,555168.0,23100.0,,368992.0,,270000.0,,
2000-03-15,35000.0,,232092.0,,2396335.0,,2636025.0,198073.0,,1526325.0,2478.0,,9790823.0,20000.0,103555800.0,,,470112.0,5100.0,,421888.0,,1230000.0,,
2000-03-16,10000.0,,62421.0,,1610854.0,,924500.0,111399.0,,94848.0,2036.0,,3433812.0,2057800.0,87978925.0,,,740258.0,9200.0,,2698240.0,,871000.0,,
2000-03-17,0.0,,183088.0,,2190316.0,,3075305.0,42847.0,,8165495.0,1066.0,,11422414.0,3365000.0,66459650.0,,,583346.0,18228.0,,3745352.0,,1940000.0,,
2000-03-20,1776000.0,,75170.0,,1051010.0,,1940055.0,121938.0,,250934.0,766.0,,7205825.0,2688750.0,15274025.0,,,429051.0,84800.0,,1184352.0,,10000.0,,
2000-03-21,522000.0,,61150.0,,2243330.0,,1568345.0,89230.0,,13812.0,2131.0,,5825206.0,7993125.0,5365075.0,,,357207.0,125700.0,,2344760.0,,470000.0,,
2000-03-22,62500.0,,166401.0,,1405325.0,,3444215.0,129836.0,,149639.0,2897.0,,12792633.0,1592500.0,117161875.0,,,580154.0,18100.0,,1241664.0,,2805000.0,,
2000-03-23,0.0,,201721.0,,1790613.0,,1381770.0,178494.0,,231366.0,2916.0,,5132222.0,920125.0,7500225.0,,,597555.0,134338.0,,1085984.0,,157000.0,,
