date,factor_score_strategy,factor_score_equal_weight_benchmark,hist_gradient_boosting_strategy,hist_gradient_boosting_equal_weight_benchmark,momentum_12_1_strategy,momentum_12_1_equal_weight_benchmark,random_forest_strategy,random_forest_equal_weight_benchmark,ridge_strategy,ridge_equal_weight_benchmark
2000-12-29,1.0,1.0,,,1.0,1.0,,,,
2001-01-01,1.0,1.0,,,1.0,1.0,,,,
2001-01-02,1.0,1.0058232523725557,,,1.0,1.0058232523725557,,,,
2001-01-03,1.0,0.9765987127794411,,,1.0,0.9765987127794411,,,,
2001-01-04,1.0,0.999870980544077,,,1.0,0.999870980544077,,,,
2001-01-05,1.0,1.0027374963545772,,,1.0,1.0027374963545772,,,,
2001-01-08,1.0,1.009469087324609,,,1.0,1.009469087324609,,,,
2001-01-09,1.0,1.0136890795940219,,,1.0,1.0136890795940219,,,,
2001-01-10,1.0,1.0155059016613563,,,1.0,1.0155059016613563,,,,
2001-01-11,1.0,1.0097359949003577,,,1.0,1.0097359949003577,,,,
2001-01-12,1.0,1.0208889750504178,,,1.0,1.0208889750504178,,,,
2001-01-15,1.0,1.0110312827732044,,,1.0,1.0110312827732044,,,,
2001-01-16,1.0,1.014458768830819,,,1.0,1.014458768830819,,,,
2001-01-17,1.0,1.016171826279624,,,1.0,1.016171826279624,,,,
2001-01-18,1.0,1.0089425256309665,,,1.0,1.0089425256309665,,,,
2001-01-19,1.0,1.01016166998445,,,1.0,1.01016166998445,,,,
2001-01-22,1.0,1.0084171969117242,,,1.0,1.0084171969117242,,,,
2001-01-23,1.0,0.9936119354501199,,,1.0,0.9936119354501199,,,,
2001-01-24,1.0,0.9936119354501199,,,1.0,0.9936119354501199,,,,
2001-01-25,1.0,1.002568150386587,,,1.0,1.002568150386587,,,,
2001-01-26,1.0,1.002568150386587,,,1.0,1.002568150386587,,,,
2001-01-29,1.0,0.9982479861704252,,,1.0,0.9982479861704252,,,,
2001-01-30,1.0,0.9988970458013195,,,1.0,0.9988970458013195,,,,
2001-01-31,1.0,1.0065080998641256,,,1.0,1.0065080998641256,,,,
2001-02-01,1.0059171532883457,1.0153713209990223,,,1.004233112804414,1.0153713209990223,,,,
2001-02-02,1.0059171532883457,1.023278343059008,,,1.004233112804414,1.023278343059008,,,,
2001-02-05,1.0059171532883457,1.0347015594597695,,,1.004233112804414,1.0347015594597695,,,,
2001-02-06,1.0059171532883457,1.0301487629883186,,,1.004233112804414,1.0301487629883186,,,,
2001-02-07,1.0059171532883457,1.0371820640500067,,,1.004233112804414,1.0371820640500067,,,,
2001-02-08,1.0059171532883457,1.0598868918211246,,,1.004233112804414,1.0598868918211246,,,,
2001-02-09,1.0059171532883457,1.0512762684961867,,,1.004233112804414,1.0512762684961867,,,,
2001-02-12,1.0059171532883457,1.039474901786292,,,1.004233112804414,1.039474901786292,,,,
2001-02-13,1.0059171532883457,1.0489116150834206,,,1.004233112804414,1.0489116150834206,,,,
2001-02-14,1.0059171532883457,1.032993885757237,,,1.004233112804414,1.032993885757237,,,,
2001-02-15,1.0059171532883457,1.0257056113943877,,,1.004233112804414,1.0257056113943877,,,,
2001-02-16,1.0059171532883457,1.023374785750177,,,1.004233112804414,1.023374785750177,,,,
2001-02-19,1.0059171532883457,1.0395783726230192,,,1.004233112804414,1.0395783726230192,,,,
2001-02-20,1.0059171532883457,1.044752248802863,,,1.004233112804414,1.044752248802863,,,,
2001-02-21,1.0059171532883457,1.048473949902697,,,1.004233112804414,1.048473949902697,,,,
2001-02-22,1.0059171532883457,1.0584090068348253,,,1.004233112804414,1.0584090068348253,,,,
2001-02-23,1.0059171532883457,1.0559151316759647,,,1.004233112804414,1.0559151316759647,,,,
2001-02-26,1.0059171532883457,1.0698454149498977,,,1.004233112804414,1.0698454149498977,,,,
2001-02-27,1.0059171532883457,1.0640561907203236,,,1.004233112804414,1.0640561907203236,,,,
2001-02-28,1.0059171532883457,1.059722670899592,,,1.004233112804414,1.059722670899592,,,,
2001-03-01,0.9750956128273711,1.0375746117036224,,,0.9818624704052402,1.0375746117036224,,,,
2001-03-02,0.9750956128273711,1.0373360437756471,,,0.9818624704052402,1.0373360437756471,,,,
2001-03-05,0.9750956128273711,1.0552983814480188,,,0.9818624704052402,1.0552983814480188,,,,
2001-03-06,0.9750956128273711,1.0732651927726624,,,0.9818624704052402,1.0732651927726624,,,,
2001-03-07,0.9750956128273711,1.0641683754619273,,,0.9818624704052402,1.0641683754619273,,,,
2001-03-08,0.9750956128273711,1.0735577462570594,,,0.9818624704052402,1.0735577462570594,,,,
2001-03-09,0.9750956128273711,1.0672355400732076,,,0.9818624704052402,1.0672355400732076,,,,
2001-03-12,0.9750956128273711,1.057509460163931,,,0.9818624704052402,1.057509460163931,,,,
2001-03-13,0.9750956128273711,1.0428928167146359,,,0.9818624704052402,1.0428928167146359,,,,
2001-03-14,0.9750956128273711,1.0428928167146359,,,0.9818624704052402,1.0428928167146359,,,,
2001-03-15,0.9750956128273711,1.0317229851304899,,,0.9818624704052402,1.0317229851304899,,,,
2001-03-16,0.9750956128273711,1.0180716923009927,,,0.9818624704052402,1.0180716923009927,,,,
2001-03-19,0.9750956128273711,1.0003023315870967,,,0.9818624704052402,1.0003023315870967,,,,
2001-03-20,0.9750956128273711,1.0148966839155287,,,0.9818624704052402,1.0148966839155287,,,,
2001-03-21,0.9750956128273711,1.0016183619008459,,,0.9818624704052402,1.0016183619008459,,,,
2001-03-22,0.9750956128273711,0.9802650753861727,,,0.9818624704052402,0.9802650753861727,,,,
2001-03-23,0.9750956128273711,0.9840482538899948,,,0.9818624704052402,0.9840482538899948,,,,
2001-03-26,0.9750956128273711,0.9876321558640465,,,0.9818624704052402,0.9876321558640465,,,,
2001-03-27,0.9750956128273711,0.9931789158498472,,,0.9818624704052402,0.9931789158498472,,,,
2001-03-28,0.9750956128273711,0.982407479166594,,,0.9818624704052402,0.982407479166594,,,,
2001-03-29,0.9750956128273711,0.9824626898785305,,,0.9818624704052402,0.9824626898785305,,,,
2001-03-30,0.9750956128273711,0.9800824503134612,,,0.9818624704052402,0.9800824503134612,,,,
2001-04-02,0.9750956128273711,0.9809519945945884,,,0.9837026729753023,0.9809519945945884,,,,
2001-04-03,0.9750956128273711,0.9673752679675792,,,0.9837026729753023,0.9673752679675792,,,,
2001-04-04,0.9750956128273711,0.9644143817936954,,,0.9837026729753023,0.9644143817936954,,,,
2001-04-05,0.9750956128273711,0.9895430682095394,,,0.9837026729753023,0.9895430682095394,,,,
2001-04-06,0.9750956128273711,0.9821816003947483,,,0.9837026729753023,0.9821816003947483,,,,
2001-04-09,0.9750956128273711,0.9859734536634754,,,0.9837026729753023,0.9859734536634754,,,,
2001-04-10,0.9750956128273711,1.0071773402819448,,,0.9837026729753023,1.0071773402819448,,,,
2001-04-11,0.9750956128273711,1.015341913103585,,,0.9837026729753023,1.015341913103585,,,,
2001-04-12,0.9750956128273711,0.9611903465231444,,,0.9837026729753023,0.9611903465231444,,,,
2001-04-13,0.9750956128273711,0.9611903465231444,,,0.9837026729753023,0.9611903465231444,,,,
2001-04-16,0.9750956128273711,0.9611903465231444,,,0.9837026729753023,0.9611903465231444,,,,
2001-04-17,0.9750956128273711,1.2125321972581056,,,0.9837026729753023,1.2125321972581056,,,,
2001-04-18,0.9750956128273711,1.2357365046853828,,,0.9837026729753023,1.2357365046853828,,,,
2001-04-19,0.9750956128273711,1.2429785749712299,,,0.9837026729753023,1.2429785749712299,,,,
2001-04-20,0.9750956128273711,1.2343611224552364,,,0.9837026729753023,1.2343611224552364,,,,
2001-04-23,0.9750956128273711,1.2314724023305499,,,0.9837026729753023,1.2314724023305499,,,,
2001-04-24,0.9750956128273711,1.235960155970535,,,0.9837026729753023,1.235960155970535,,,,
2001-04-25,0.9750956128273711,1.245132407390771,,,0.9837026729753023,1.245132407390771,,,,
2001-04-26,0.9750956128273711,1.2420019410316085,,,0.9837026729753023,1.2420019410316085,,,,
2001-04-27,0.9750956128273711,1.2585345490635198,,,0.9837026729753023,1.2585345490635198,,,,
2001-04-30,0.9731454216017164,1.2561608753967726,,,0.9829157108369221,1.2561608753967726,,,,
2001-05-01,0.9731454216017164,1.2561608753967726,,,0.9829157108369221,1.2561608753967726,,,,
2001-05-02,0.9731454216017164,1.2678588928003707,,,0.9829157108369221,1.2678588928003707,,,,
2001-05-03,0.9731454216017164,1.2518513740100634,,,0.9829157108369221,1.2518513740100634,,,,
2001-05-04,0.9731454216017164,1.2520883300744987,,,0.9829157108369221,1.2520883300744987,,,,
2001-05-07,0.9731454216017164,1.2520883300744987,,,0.9829157108369221,1.2520883300744987,,,,
2001-05-08,0.9731454216017164,1.278481668236535,,,0.9829157108369221,1.278481668236535,,,,
2001-05-09,0.9731454216017164,1.2852755025727056,,,0.9829157108369221,1.2852755025727056,,,,
2001-05-10,0.9731454216017164,1.2964302684059543,,,0.9829157108369221,1.2964302684059543,,,,
2001-05-11,0.9731454216017164,1.3048090427865182,,,0.9829157108369221,1.3048090427865182,,,,
2001-05-14,0.9731454216017164,1.2823618688500915,,,0.9829157108369221,1.2823618688500915,,,,
2001-05-15,0.9731454216017164,1.2987499520395378,,,0.9829157108369221,1.2987499520395378,,,,
2001-05-16,0.9731454216017164,1.284293849826128,,,0.9829157108369221,1.284293849826128,,,,
2001-05-17,0.9731454216017164,1.284293849826128,,,0.9829157108369221,1.284293849826128,,,,
2001-05-18,0.9731454216017164,1.303962328017013,,,0.9829157108369221,1.303962328017013,,,,
2001-05-21,0.9731454216017164,1.3297557823777304,,,0.9829157108369221,1.3297557823777304,,,,
2001-05-22,0.9731454216017164,1.3298742382424673,,,0.9829157108369221,1.3298742382424673,,,,
2001-05-23,0.9731454216017164,1.322160955771939,,,0.9829157108369221,1.322160955771939,,,,
2001-05-24,0.9731454216017164,1.322160955771939,,,0.9829157108369221,1.322160955771939,,,,
2001-05-25,0.9731454216017164,1.3363929234786716,,,0.9829157108369221,1.3363929234786716,,,,
2001-05-28,0.9731454216017164,1.336274740452309,,,0.9829157108369221,1.336274740452309,,,,
