date,strategy,equal_weight_benchmark,strategy_daily_return,benchmark_daily_return
2000-01-03,1.0,1.0,0.0,0.0
2000-01-04,1.0,0.9675002863217694,0.0,-0.03249971367823057
2000-01-05,1.0,0.9398628448587671,0.0,-0.028565822515747193
2000-01-06,1.0,0.9406242422414836,0.0,0.0008101154193737026
2000-01-07,1.0,0.9601368364695689,0.0,0.02074430293396159
2000-01-10,1.0,0.981587156570534,0.0,0.022340899011684758
2000-01-11,1.0,0.9640002924684111,0.0,-0.01791676264751439
2000-01-12,1.0,0.9622024815628527,0.0,-0.0018649485063484564
2000-01-13,1.0,0.9707726794292963,0.0,0.008906854877908401
2000-01-14,1.0,0.9733839503498919,0.0,0.0026898891737771524
2000-01-17,1.0,0.9721842636908496,0.0,-0.0012324906925072884
2000-01-18,1.0,0.9797717340881383,0.0,0.0078045599796927444
2000-01-19,1.0,0.983968768506982,0.0,0.00428368595747451
2000-01-20,1.0,0.9965319910318191,0.0,0.012767907810630832
2000-01-21,1.0,0.9976894302230108,0.0,0.0011614671697527152
2000-01-24,1.0,1.0130582332444051,0.0,0.015404395953116204
2000-01-25,1.0,0.9933641958633098,0.0,-0.019440182937977318
2000-01-26,1.0,0.9966493002098,0.0,0.003307049277767728
2000-01-27,1.0,0.9980658583508304,0.0,0.0014213205595311235
2000-01-28,1.0,0.9916707125190661,0.0,-0.006407538919657373
2000-01-31,1.0,0.9604601710600386,0.0,-0.03147268651278989
2000-02-01,1.0,0.9603115699070051,0.0,-0.00015471870412848382
2000-02-02,1.0,0.9783843128649958,0.0,0.018819665954603684
2000-02-03,1.0,0.9961097748900858,0.0,0.018117075051198177
2000-02-04,1.0,0.9971383735889218,0.0,0.001032615806776438
2000-02-07,1.0,1.0023738650710978,0.0,0.005250516498860991
2000-02-08,1.0,1.0158213107061858,0.0,0.013415598813656329
2000-02-09,1.0,1.008912024913306,0.0,-0.006801674389048432
2000-02-10,1.0,1.0320676530532822,0.0,0.022951087476597482
2000-02-11,1.0,1.0651197518232123,0.0,0.03202512807387035
2000-02-14,1.0,1.0756126738280922,0.0,0.009851401203403356
2000-02-15,1.0,1.072072058201498,0.0,-0.003291719884624781
2000-02-16,1.0,1.064815134780708,0.0,-0.006769063110332414
2000-02-17,1.0,1.0538877137965712,0.0,-0.010262270536178262
2000-02-18,1.0,1.0665674867738089,0.0,0.012031426888505503
2000-02-21,1.0,1.0489879737312577,0.0,-0.016482326023012656
2000-02-22,1.0,1.0626821349233402,0.0,0.013054640791897902
2000-02-23,1.0,1.078046746343111,0.0,0.014458332284732691
2000-02-24,1.0,1.0704099289366056,0.0,-0.007083939015084901
2000-02-25,1.0,1.0644299703963263,0.0,-0.005586606008242147
2000-02-28,1.0,1.0541867337762623,0.0,-0.009623213273720621
2000-02-29,1.0,1.0710908374438668,0.0,0.016035208114459465
2000-03-01,1.0,1.0849116743129101,0.0,0.012903515169662347
2000-03-02,1.0,1.0715693823963937,0.0,-0.012298044377636779
