rebalance_date,symbol,momentum,selected
2026-05-11,SUBC,0.6749038989566174,True
2026-05-11,KOG,0.5375114785369308,True
2026-05-11,NHY,0.5098722415795587,True
2026-05-11,FRO,0.4824016563146998,False
2026-05-11,YAR,0.4740368509212731,False
2026-05-11,NOD,0.4590043923865301,False
2026-05-11,EQNR,0.3813801551653737,False
2026-05-11,MPCC,0.3479136690647484,False
2026-05-11,AKRBP,0.3179687499999999,False
2026-05-11,VAR,0.30410392677886056,False
2026-05-11,ELK,0.14452214452214474,False
2026-05-11,STB,0.12492033142128744,False
2026-05-11,ORK,0.106430425978707,False
2026-05-11,DNB,0.07071865443425085,False
2026-05-11,TEL,0.027296937416777745,False
2026-05-11,SALM,-0.06508355321020232,False
2026-05-11,GJF,-0.07546640554699424,False
2026-05-11,MOWI,-0.14234875444839856,False
2026-05-11,TOM,-0.18712955122777308,False
2026-05-11,BRG,-0.2047670639219934,False
