model,date,next_date,ticker,prediction,target_abs_return,target_rel_return,selected
factor_score,2000-12-29,2001-01-31,ORK,0.22933856651582343,-0.0287356016429575,-0.0326979579756205,True
factor_score,2001-01-31,2001-02-28,ORK,0.3241112331762813,0.062129671819801,0.0106742102512224,True
factor_score,2001-02-28,2001-03-30,ORK,0.4763594953038973,-0.1058494137151696,-0.0310299866669258,True
factor_score,2001-03-30,2001-04-30,ORK,0.36376524337121674,0.0436136719882418,-0.010821619139177,True
factor_score,2001-04-30,2001-05-31,ORK,0.35498542227843993,-0.0147011251129186,-0.0513017078155273,True
factor_score,2001-04-30,2001-05-31,ATEA,-1.3666829376800969,-0.0253163435743462,-0.0619169262769548,True
factor_score,2001-05-31,2001-06-29,ORK,0.2622450570562811,0.0432098032237562,0.1285630676281686,True
factor_score,2001-05-31,2001-06-29,ATEA,-1.3902273698986811,-0.3290043374552869,-0.2436510730508745,True
factor_score,2001-06-29,2001-07-31,ORK,0.2575948554197557,0.0059168432446321,0.0533721645702714,True
factor_score,2001-06-29,2001-07-31,ATEA,-1.3274377949954446,-0.0838709722726483,-0.036415650947009,True
factor_score,2001-07-31,2001-08-31,ORK,0.4125801106650781,-0.0441175968088664,0.0175754234591113,True
factor_score,2001-07-31,2001-08-31,ATEA,-1.3118284558015285,-0.0985919973507963,-0.0368989770828185,True
factor_score,2001-08-31,2001-09-28,ORK,0.41171556907787665,-0.150769136761378,0.0113288712436309,True
factor_score,2001-08-31,2001-09-28,ATEA,-1.2376984033470568,-0.2968745529736851,-0.1347765449686761,True
factor_score,2001-09-28,2001-10-31,ORK,0.4212502293392748,0.0724637833671868,0.1261877724655419,True
factor_score,2001-09-28,2001-10-31,TOM,-0.5099842833646547,-0.0166670272910207,0.0370569618073343,True
factor_score,2001-09-28,2001-10-31,ATEA,-0.9807685543853308,-0.3799999896332987,-0.3262760005349436,True
factor_score,2001-10-31,2001-11-30,ORK,0.46789762781029764,-0.0067568255424527,-0.1194922044711769,True
factor_score,2001-10-31,2001-11-30,TOM,-0.4298418098600753,0.0734466340375727,-0.0392887448911514,True
factor_score,2001-10-31,2001-11-30,ATEA,-0.9203057543112392,0.9354838664729876,0.8227484875442634,True
factor_score,2001-11-30,2001-12-31,ORK,0.4827783847162981,0.0340135836006909,-0.0372790974562762,True
factor_score,2001-11-30,2001-12-31,TOM,-0.5446202223992133,-0.0947370694399061,-0.1660297504968733,True
factor_score,2001-11-30,2001-12-31,ATEA,-0.8786757929503072,-0.0185185278506826,-0.0898112089076498,True
factor_score,2001-12-31,2002-01-31,AFG,0.8461280864077368,-0.0468749256027422,-0.0149095196799067,True
factor_score,2001-12-31,2002-01-31,ORK,0.2682436211604218,0.0131577910245412,0.0451231969473767,True
factor_score,2001-12-31,2002-01-31,VEI,0.13854621261525962,0.0980390926749603,0.1300044985977958,True
factor_score,2001-12-31,2002-01-31,TOM,-0.40482750732609984,-0.3023252820475012,-0.2703598761246657,True
factor_score,2001-12-31,2002-01-31,ATEA,-0.8992750449878586,-0.1452831081326404,-0.1133177022098049,True
factor_score,2002-01-31,2002-02-28,AFG,0.8974869588796557,0.1475409195795891,0.1247353165659204,True
factor_score,2002-01-31,2002-02-28,ORK,0.19280722082649338,-0.025973588151457,-0.0487791911651257,True
factor_score,2002-01-31,2002-02-28,VEI,0.16385675159970947,0.0535717346484032,0.0307661316347345,True
factor_score,2002-01-31,2002-02-28,TOM,-0.5641534295492536,0.1999996715742806,0.1771940685606119,True
factor_score,2002-01-31,2002-02-28,ATEA,-1.0014866460681198,-0.2604857091832763,-0.283291312196945,True
factor_score,2002-02-28,2002-03-29,AFG,0.8255199141432075,-0.0285714353557957,-0.0864571820502755,True
factor_score,2002-02-28,2002-03-29,VEI,0.3997835521472302,0.1016948857104758,0.0438091390159959,True
factor_score,2002-02-28,2002-03-29,ORK,0.25142710599829887,0.0,-0.0578857466944798,True
factor_score,2002-02-28,2002-03-29,TOM,-0.6129707561035874,0.1388893427998314,0.0810035961053516,True
factor_score,2002-02-28,2002-03-29,ATEA,-1.0285332986947227,0.2208957226093038,0.1630099759148239,True
factor_score,2002-03-29,2002-04-30,AFG,0.8128652226508912,0.0710642035154405,0.0968752202974807,True
factor_score,2002-03-29,2002-04-30,VEI,0.4012610859927238,-0.0153845234287327,0.0104264933533074,True
factor_score,2002-03-29,2002-04-30,ORK,0.12594205842798287,0.019999895924009,0.0458109127060493,True
factor_score,2002-03-29,2002-04-30,TOM,-0.6027623112720621,-0.2171930842599165,-0.1913820674778763,True
factor_score,2002-03-29,2002-04-30,ATEA,-0.9453724271914676,-0.0953547070511787,-0.0695436902691385,True
factor_score,2002-04-30,2002-05-31,VEI,0.6662500148399209,0.0639879703629853,0.1211448496037187,True
factor_score,2002-04-30,2002-05-31,AFG,0.6468650026589794,-0.1999998934979915,-0.142843014257258,True
factor_score,2002-04-30,2002-05-31,ORK,0.21566569021153267,0.0579171321532674,0.1150740113940008,True
factor_score,2002-04-30,2002-05-31,TOM,-0.7123590563323994,-0.1406250126970686,-0.0834681334563351,True
factor_score,2002-04-30,2002-05-31,ATEA,-1.1115519586534135,-0.2162162701700241,-0.1590593909292906,True
factor_score,2002-05-31,2002-06-28,VEI,0.8074546971919182,-0.1136361805739676,-0.0087652034155811,True
factor_score,2002-05-31,2002-06-28,AFG,0.5357899346162197,0.1964287599126493,0.3012997370710357,True
factor_score,2002-05-31,2002-06-28,ORK,0.36544654139444843,-0.0851735323566988,0.0196974448016875,True
factor_score,2002-05-31,2002-06-28,TOM,-0.6892921374736322,0.0727274904984431,0.1775984676568296,True
factor_score,2002-05-31,2002-06-28,ATEA,-1.4201864694920414,-0.3706896181924936,-0.2658186410341071,True
factor_score,2002-06-28,2002-07-31,VEI,0.9143149745730856,-0.0769231643019541,-0.0104150956803843,True
factor_score,2002-06-28,2002-07-31,AFG,0.5754495606294925,-0.0746271278340057,-0.0081190592124359,True
factor_score,2002-06-28,2002-07-31,ORK,0.2671569548478647,-0.0862070191435757,-0.0196989505220059,True
factor_score,2002-06-28,2002-07-31,TOM,-0.5775537268038462,0.0508473547050536,0.1173554233266234,True
factor_score,2002-06-28,2002-07-31,ATEA,-1.4030930319507533,0.0410960275572545,0.1076040961788243,True
factor_score,2002-07-31,2002-08-30,VEI,0.6852878278650617,0.0185182678435991,0.1120638577814606,True
factor_score,2002-07-31,2002-08-30,ORK,0.4098795832416181,0.0037735719961997,0.0973191619340613,True
factor_score,2002-07-31,2002-08-30,AFG,0.3684350431548461,-0.1290324215301367,-0.0354868315922751,True
factor_score,2002-07-31,2002-08-30,TOM,-0.017683644311942276,-0.1532259462558831,-0.0596803563180216,True
factor_score,2002-07-31,2002-08-30,ATEA,-1.1303032967101851,0.0526316112535736,0.1461772011914351,True
factor_score,2002-08-30,2002-09-30,VEI,0.6155273531423456,-0.1636361018571023,0.0383237326020983,True
factor_score,2002-08-30,2002-09-30,AFG,0.4142786852488786,0.0407409701072476,0.2427008045664483,True
factor_score,2002-08-30,2002-09-30,ORK,0.39677818886067806,-0.1090224521317519,0.0929373823274486,True
factor_score,2002-08-30,2002-09-30,TOM,-0.09897654252980939,-0.1390476530115029,0.0629121814476977,True
factor_score,2002-08-30,2002-09-30,ATEA,-0.9064865671577367,-0.1400000427626457,0.0619597916965549,True
factor_score,2002-09-30,2002-10-31,VEI,0.7368097048141798,0.0652172264314279,-0.0255579533987684,True
factor_score,2002-09-30,2002-10-31,KOG,0.5969617501101169,0.0112358931382037,-0.0795392866919926,True
factor_score,2002-09-30,2002-10-31,EQNR,0.5793093688132239,-0.0442480563334938,-0.1350232361636901,True
factor_score,2002-09-30,2002-10-31,ORK,0.45922891167370034,-0.0042195444155089,-0.0949947242457053,True
factor_score,2002-09-30,2002-10-31,AFG,0.4150187832956623,0.0640569759191767,-0.0267182039110196,True
factor_score,2002-09-30,2002-10-31,TOM,-0.04132368576432956,0.2057525229500303,0.1149773431198339,False
factor_score,2002-09-30,2002-10-31,ATEA,-1.3299937064522898,0.3750001695136675,0.2842249896834712,False
factor_score,2002-10-31,2002-11-29,VEI,0.6718177538722667,-0.081632685350655,-0.131842870198613,True
factor_score,2002-10-31,2002-11-29,ORK,0.6172017602126243,0.0720338801130813,0.0218236952651233,True
factor_score,2002-10-31,2002-11-29,KOG,0.5434813481271942,0.0888887039129768,0.0386785190650189,True
factor_score,2002-10-31,2002-11-29,EQNR,0.48641793556767504,-0.0092591421977465,-0.0594693270457045,True
factor_score,2002-10-31,2002-11-29,AFG,0.45553646507218876,-0.1304348522988225,-0.1806450371467805,True
factor_score,2002-10-31,2002-11-29,TOM,0.062497439426442696,0.1834862288046861,0.1332760439567281,False
factor_score,2002-10-31,2002-11-29,ATEA,-1.1320357205954998,0.1839322925099542,0.1337221076619962,False
factor_score,2002-11-29,2002-12-31,VEI,0.620978065411851,0.1333333907606857,0.222247861857722,True
factor_score,2002-11-29,2002-12-31,KOG,0.5767588740205218,-0.076530923139432,0.0123835479576043,True
factor_score,2002-11-29,2002-12-31,ORK,0.48212636851796925,-0.0671936600599628,0.0217208110370734,True
factor_score,2002-11-29,2002-12-31,EQNR,0.43218522276024857,0.0934580828888136,0.1823725539858499,True
factor_score,2002-11-29,2002-12-31,AFG,0.4049704174027551,0.1538463507803422,0.2427608218773786,True
factor_score,2002-11-29,2002-12-31,TOM,0.2214934068641184,-0.3007750280216152,-0.2118605569245789,False
factor_score,2002-11-29,2002-12-31,ATEA,-0.9253792433180945,-0.0714284722573178,0.0174859988397184,False
factor_score,2002-12-31,2003-01-31,AFG,0.6156870786784774,0.0,0.0404176767143134,True
factor_score,2002-12-31,2003-01-31,KOG,0.528749702767521,-0.0165740272804898,0.0238436494338235,True
factor_score,2002-12-31,2003-01-31,EQNR,0.5195555149789297,-0.0854702016943403,-0.0450525249800269,True
factor_score,2002-12-31,2003-01-31,VEI,0.495825150133572,-0.0490197079080936,-0.0086020311937801,True
factor_score,2002-12-31,2003-01-31,ORK,0.3800425412231326,-0.0720336541492495,-0.0316159774349361,True
factor_score,2002-12-31,2003-01-31,TOM,0.16065138207621849,-0.2084258924999286,-0.1680082157856151,False
factor_score,2002-12-31,2003-01-31,ATEA,-0.4687929467404215,-0.1288463013531084,-0.088428624638795,False
