portfolio,start,end,days,total_return,annualized_return,max_drawdown,sharpe
strategy,2000-01-03,2026-05-11,6681,0.7562010824821304,0.021600545100050716,-0.17579790658450567,0.41219568655149885
equal_weight_benchmark,2000-01-03,2026-05-11,6681,129.68793237846856,0.2031146474617711,-0.5764827576527342,0.9908026210144004
