model,start,end,total_return,annualized_return,max_drawdown,sharpe,benchmark_total_return,benchmark_annualized_return,excess_total_return,avg_monthly_turnover,avg_hit_rate,months
factor_score,2000-12-29,2026-05-11,0.7329606533788113,0.021914773420555367,-0.1413502609111602,0.4553605568768671,94.02215984283598,0.1966835836208285,-93.28919918945716,0.36153005464480875,0.4904918032786885,305
momentum_12_1,2000-12-29,2026-05-11,0.4870477260023416,0.01576728653266013,-0.1935855730456455,0.3476054537386697,94.02215984283598,0.1966835836208285,-93.53511211683363,0.4281967213114754,0.5022950819672131,305
hist_gradient_boosting,2005-12-30,2026-05-11,0.3107090444174667,0.013376977033705106,-0.1700696005268847,0.26711170919135246,34.66232331485737,0.19188119041307683,-34.3516142704399,0.9755102040816328,0.49795918367346925,245
ridge,2005-12-30,2026-05-11,0.21452308911978069,0.009590795620564307,-0.21618717832453904,0.21691780861557575,34.66232331485737,0.19188119041307683,-34.44780022573759,0.7485714285714287,0.48897959183673473,245
random_forest,2005-12-30,2026-05-11,0.1438175640622723,0.006621145391498162,-0.19653923115512384,0.1489495563082671,34.66232331485737,0.19188119041307683,-34.51850575079509,0.7812244897959185,0.5012244897959184,245
