ticker,yahoo_symbol,name,market,currency
NKR,NKR.OL,Nekkar ASA,Oslo,NOK
NEXT,NEXT.OL,Next Biometrics Group ASA,Oslo,NOK
NORBT,NORBT.OL,NORBIT ASA,Oslo,NOK
NOM,NOM.OL,Nordic Mining ASA,Oslo,NOK
NOD,NOD.OL,Nordic Semiconductor ASA,Oslo,NOK
NORCO,NORCO.OL,Norconsult ASA,Oslo,NOK
NHY,NHY.OL,Norsk Hydro ASA,Oslo,NOK
NSKOG,NSKOG.OL,Norske Skog,Oslo,NOK
NOL,NOL.OL,Northern Ocean Ltd.,Oslo,NOK
NAS,NAS.OL,Norwegian Air Shuttle ASA,Oslo,NOK
NRC,NRC.OL,NRC Group ASA,Oslo,NOK
NYKD,NYKD.OL,Nykode Therapeutics ASA,Oslo,NOK
ODL,ODL.OL,Odfjell Drilling Ltd,Oslo,NOK
ODF,ODF.OL,Odfjell SE,Oslo,NOK
OTL,OTL.OL,Odfjell Technology Ltd,Oslo,NOK
OKEA,OKEA.OL,OKEA ASA,Oslo,NOK
OET,OET.OL,Okeanis Eco Tankers Corp.,Oslo,NOK
ONCIN,ONCIN.OL,Oncoinvent ASA,Oslo,NOK
ORK,ORK.OL,Orkla ASA,Oslo,NOK
OTEC,OTEC.OL,Otello Corporation ASA,Oslo,NOK
OTOVO,OTOVO.OL,Otovo ASA,Oslo,NOK
PEN,PEN.OL,Panoro Energy ASA,Oslo,NOK
PLSV,PLSV.OL,Paratus Energy Services Ltd.,Oslo,NOK
PARB,PARB.OL,Pareto Bank ASA,Oslo,NOK
PNOR,PNOR.OL,PetroNor E&P ASA,Oslo,NOK
PSE,PSE.OL,Petrolia SE,Oslo,NOK
PEXIP,PEXIP.OL,Pexip Holding ASA,Oslo,NOK
PHO,PHO.OL,Photocure ASA,Oslo,NOK
POL,POL.OL,Polaris Media ASA,Oslo,NOK
PLT,PLT.OL,poLight ASA,Oslo,NOK
PRS,PRS.OL,Prosafe SE,Oslo,NOK
PROT,PROT.OL,Protector Forsikring ASA,Oslo,NOK
PUBLI,PUBLI.OL,Public Property Invest ASA,Oslo,NOK
QEC,QEC.OL,Questerre Energy Corporation,Oslo,NOK
REACH,REACH.OL,Reach Subsea ASA,Oslo,NOK
RECSI,RECSI.OL,REC Silicon ASA,Oslo,NOK
SDSD,SDSD.OL,S.D. Standard ETC Plc,Oslo,NOK
SAGA,SAGA.OL,Saga Pure ASA,Oslo,NOK
SALM,SALM.OL,SalMar ASA,Oslo,NOK
SALME,SALME.OL,Salmon Evolution ASA,Oslo,NOK
SATS,SATS.OL,SATS ASA,Oslo,NOK
SCANA,SCANA.OL,Scana ASA,Oslo,NOK
SCATC,SCATC.OL,Scatec ASA,Oslo,NOK
ENH,ENH.OL,SED Energy Holdings Plc,Oslo,NOK
SNTIA,SNTIA.OL,Sentia ASA,Oslo,NOK
SBO,SBO.OL,Selvaag Bolig ASA,Oslo,NOK
SMOP,SMOP.OL,Smartoptics Group ASA,Oslo,NOK
SWON,SWON.OL,SoftwareOne Holding AG,Oslo,NOK
STECH,STECH.OL,Soiltech ASA,Oslo,NOK
SOMA,SOMA.OL,Solstad Maritime ASA,Oslo,NOK
SOFF,SOFF.OL,Solstad Offshore ASA,Oslo,NOK
SB1NO,SB1NO.OL,SpareBank 1 Sør-Norge ASA,Oslo,NOK
SNI,SNI.OL,Stolt-Nielsen Limited,Oslo,NOK
STB,STB.OL,Storebrand ASA,Oslo,NOK
STRO,STRO.OL,StrongPoint ASA,Oslo,NOK
SUBC,SUBC.OL,Subsea 7 SA,Oslo,NOK
TECH,TECH.OL,Techstep ASA,Oslo,NOK
TEKNA,TEKNA.OL,Tekna Holding ASA,Oslo,NOK
TEL,TEL.OL,Telenor ASA,Oslo,NOK
TGS,TGS.OL,TGS ASA,Oslo,NOK
TRMED,TRMED.OL,Thor Medical ASA,Oslo,NOK
TIETO,TIETO.OL,TietoEVRY Oyj,Oslo,NOK
TOM,TOM.OL,Tomra Systems ASA,Oslo,NOK
VEI,VEI.OL,Veidekke ASA,Oslo,NOK
VEND,VEND.OL,Vend Marketplaces ASA,Oslo,NOK
VISTN,VISTN.OL,Vistin Pharma ASA,Oslo,NOK
VOW,VOW.OL,Vow ASA,Oslo,NOK
VVL,VVL.OL,Voss Veksel- og Landmandsbank ASA,Oslo,NOK
VAR,VAR.OL,Vår Energi ASA,Oslo,NOK
WSTEP,WSTEP.OL,Webstep ASA,Oslo,NOK
WAWI,WAWI.OL,Wallenius Wilhelmsen ASA,Oslo,NOK
WWI,WWI.OL,Wilh. Wilhelmsen Holding ASA,Oslo,NOK
YAR,YAR.OL,Yara International ASA,Oslo,NOK
ZAL,ZAL.OL,Zalaris ASA,Oslo,NOK
ZAP,ZAP.OL,Zaptec ASA,Oslo,NOK
ZLNA,ZLNA.OL,Zelluna ASA,Oslo,NOK
